game_id,date,season,week,league,away,home,assist_tackles,def_sack,def_solo,def_tot,def_ydsl,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_made,sacks,solo_tackles,tackles
FOOTBALL_AAF_2019_2_10_SL@ARI,2019-02-10,2019,1,AAF,SL,ARI,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,3.0,
FOOTBALL_AAF_2019_2_16_ARI@MEM,2019-02-16,2019,2,AAF,ARI,MEM,1.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,
FOOTBALL_AAF_2019_2_23_ARI@SL,2019-02-23,2019,3,AAF,ARI,SL,5.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,2.0,
FOOTBALL_AAF_2019_3_3_ATL@ARI,2019-03-03,2019,4,AAF,ATL,ARI,4.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,7.0,
FOOTBALL_AAF_2019_3_10_SA@ARI,2019-03-10,2019,5,AAF,SA,ARI,5.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,7.0,
FOOTBALL_AAF_2019_3_16_ARI@ORL,2019-03-16,2019,6,AAF,ARI,ORL,3.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,
FOOTBALL_AAF_2019_3_24_SD@ARI,2019-03-24,2019,7,AAF,SD,ARI,1.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,5.0,
FOOTBALL_AAF_2019_3_31_ARI@SA,2019-03-31,2019,8,AAF,ARI,SA,6.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,4.0,
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,,,,,,,,,,,,,,,,0.5,4.0,4.0
FOOTBALL_XFL_2020_2_22_DAL@SEA,2020-02-22,2020,3,XFL,DAL,SEA,1.0,,,,,,,,,,,,,,,,1.0,2.0
FOOTBALL_XFL_2020_2_29_SEA@STL,2020-02-29,2020,4,XFL,SEA,STL,2.0,,,,,,,,,,,,,,,,5.0,7.0
FOOTBALL_XFL_2020_3_7_SEA@HOU,2020-03-07,2020,5,XFL,SEA,HOU,2.0,,,,,,,,,,,,,,,,3.0,5.0
FOOTBALL_CFL_2021_10_15_WPG@EDM,2021-10-15,2021,1,CFL,WPG,EDM,,,7.0,7.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_29_HAM@EDM,2021-10-29,2021,1,CFL,HAM,EDM,,,3.0,3.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_8_EDM@WPG,2021-10-08,2021,1,CFL,EDM,WPG,,,8.0,8.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_11_13_EDM@SSK,2021-11-13,2021,1,CFL,EDM,SSK,,,6.0,6.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_11_16_EDM@TOR,2021-11-16,2021,1,CFL,EDM,TOR,,,5.0,5.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_11_19_EDM@BC,2021-11-19,2021,1,CFL,EDM,BC,,,9.0,9.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_14_MTL@EDM,2021-08-14,2021,1,CFL,MTL,EDM,,,5.0,5.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_19_EDM@BC,2021-08-19,2021,1,CFL,EDM,BC,,,4.0,4.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_7_OTT@EDM,2021-08-07,2021,1,CFL,OTT,EDM,,,5.0,5.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_9_11_CGY@EDM,2021-09-11,2021,1,CFL,CGY,EDM,,1.0,2.0,2.0,4.0,,,,,,,,,,,,,
FOOTBALL_CFL_2021_9_18_WPG@EDM,2021-09-18,2021,1,CFL,WPG,EDM,,,3.0,3.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_9_28_EDM@OTT,2021-09-28,2021,1,CFL,EDM,OTT,,,3.0,3.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_9_6_EDM@CGY,2021-09-06,2021,1,CFL,EDM,CGY,,,6.0,6.0,,,,,,,,,,,,,,
9889318,2023-08-10,2023,10,CFL,WPG,EDM,,,,,,,,,,,,,,,0.0,0.0,,10.0
9889322,2023-08-17,2023,11,CFL,EDM,HAM,,,,,,,,,,,,,,,0.0,2.0,,6.0
9889329,2023-08-27,2023,12,CFL,OTT,EDM,,,,,,,,,,,,,,,0.0,1.0,,9.0
9889333,2023-09-04,2023,13,CFL,EDM,CGY,,,,,,,,,,,,,,,0.0,0.0,,3.0
9889337,2023-09-09,2023,14,CFL,CGY,EDM,,,,,,,,,,,,,,,0.0,0.0,,7.0
9889339,2023-09-15,2023,15,CFL,EDM,SSK,,,,,,,,,,,,,,,0.0,0.0,,5.0
9889343,2023-09-22,2023,16,CFL,BC,EDM,,,,,,,,,,,,,,,0.0,0.0,,12.0
9889360,2023-10-21,2023,20,CFL,EDM,WPG,,,,,,,,,,,,,,,0.0,0.0,,10.0
10798018,2024-06-08,2024,1,CFL,SSK,EDM,,,,,,,,,,,,,,,0.0,0.0,,10.0
