game_id,date,season,week,league,away,home,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2022_W1_NO,,2022,1,USFL,,,1.0,1.0,,0.0,150.0,0.0,0.0,1.0,0.0,30.0
SYNTHETIC_USFL_2022_W2_NO,,2022,2,USFL,,,1.0,0.0,,2.0,266.0,,,,1.0,1.0
SYNTHETIC_USFL_2022_W3_NO,,2022,3,USFL,,,,1.0,1.0,2.0,240.0,,,,0.0,0.0
SYNTHETIC_USFL_2022_W4_NO,,2022,4,USFL,,,,3.0,1.0,1.0,397.0,,,,0.0,7.0
SYNTHETIC_USFL_2022_W5_NO,,2022,5,USFL,,,,2.0,0.0,2.0,155.0,,,,0.0,12.0
SYNTHETIC_USFL_2022_W6_NO,,2022,6,USFL,,,,0.0,,0.0,92.0,,,,0.0,14.0
SYNTHETIC_USFL_2022_W7_NO,,2022,7,USFL,,,2.0,0.0,0.0,2.0,182.0,,,,0.0,3.0
SYNTHETIC_USFL_2022_W8_NO,,2022,8,USFL,,,,3.0,0.0,0.0,251.0,,,,0.0,-5.0
SYNTHETIC_USFL_2022_W9_NO,,2022,9,USFL,,,1.0,1.0,0.0,0.0,48.0,,,,0.0,-8.0
SYNTHETIC_USFL_2022_W11_NO,,2022,11,USFL,,,,2.0,,1.0,327.0,,,,0.0,4.0
FOOTBALL_XFL_2023_3_5_ORL@ARL,2023-03-05,2023,3,XFL,RENEGADES,GUARDIANS,,,,1.0,124.0,,,,,-2.0
FOOTBALL_XFL_2023_3_12_ARL@STL,2023-03-12,2023,4,XFL,BATTLEHAWKS,RENEGADES,,3.0,1.0,,205.0,,,,,11.0
FOOTBALL_XFL_2023_3_19_ARL@SA,2023-03-19,2023,5,XFL,ARL,SA,,1.0,,,148.0,,,,,17.0
FOOTBALL_XFL_2023_3_26_SA@ARL,2023-03-26,2023,6,XFL,SA,ARL,,,,,22.0,,,,,1.0
