game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,field_goal_yards,goals,goals_minus_xg,goals_plus_assists,interceptions_lost,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,passing_tds,passing_yards,patkick,points_added,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
4002611110441,,,4,,,,,,,,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0,29.0,1.0,0.0,0.0,,,,,,,,
4002611142239,,,5,,,,,,,,0.0,,,,0.0,,,,,,,2.0,246.0,0.0,,,,,,0.0,-10.0,1.0,3.0,7.0,,,,,,,,
soccer-mls-2013-WBLMvYAQxe,,2013,1,MLS,,,4.0,2.1473,15.0856,0.9891,,10.0,3.3612,14.0,,19.0,2131.0,0.6141,609.0,-41.2504,-6.7735,,,,3.9396,,,,,,,,,,47.0,24.0,1.8527,6.6388,1.3392,8.4916,0.6819,4.0309
soccer-nasl-2016-aDQ0NRP5Ev,,2016,1,NASL,,,0.0,-0.2281,15.4609,1.415,,1.0,-0.4413,1.0,,2.0,286.0,0.7059,51.0,-1.6105,-3.1578,,,,0.3554,,,,,,,,,,6.0,3.0,0.2281,1.4413,-0.2994,1.6694,0.7375,0.99
FOOTBALL_AF1_2026_5_30_T584747G1168388@T602555,2026-05-30,2026,8,AF1,Kentucky Barrels,Minnesota Monsters,,,,,,,,,,,,,,,,,,,,29.0,29.0,0.0,0.0,0.0,29.0,1.0,,,,,,,,,,
