game_id,date,season,week,league,away,home,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,punt_no,punt_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,11.0,80.0,42.0,2.0,7.0,585.0,,,14.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,9.0,35.0,23.0,1.0,6.0,345.0,1.0,45.0,4.0,,4.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,11.0,82.0,51.0,2.0,8.0,856.0,,,15.0,1.0,
