game_id,date,season,week,league,away,home,gp,recv_rec,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,7.0,,,1.0,4.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,10.0,7.0,34.0,40.0,110.0
