game_id,date,season,week,league,away,home,match_loss,match_played,match_win,team_points_against,team_points_for
curling-wcf-world-2026-827-1-2,2026-02-04,2026,1,WCF-WORLD,Canada,Czechia,1.0,1.0,0.0,10.0,5.0
curling-wcf-world-2026-827-10-1,2026-02-08,2026,1,WCF-WORLD,Norway,Czechia,0.0,1.0,1.0,3.0,6.0
curling-wcf-world-2026-827-11-3,2026-02-08,2026,1,WCF-WORLD,Italy,Czechia,1.0,1.0,0.0,8.0,2.0
curling-wcf-world-2026-827-13-1,2026-02-09,2026,1,WCF-WORLD,Czechia,Estonia,0.0,1.0,1.0,4.0,8.0
curling-wcf-world-2026-827-4-2,2026-02-05,2026,1,WCF-WORLD,Czechia,Great Britain,1.0,1.0,0.0,8.0,7.0
curling-wcf-world-2026-827-8-2,2026-02-07,2026,1,WCF-WORLD,Korea,Czechia,0.0,1.0,1.0,4.0,9.0
curling-wcf-world-2026-833-10-2,2026-03-30,2026,1,WCF-WORLD,Poland,Czechia,0.0,1.0,1.0,6.0,10.0
curling-wcf-world-2026-833-14-2,2026-03-31,2026,1,WCF-WORLD,Czechia,Italy,1.0,1.0,0.0,6.0,4.0
curling-wcf-world-2026-833-20-3,2026-04-02,2026,1,WCF-WORLD,Czechia,Scotland,1.0,1.0,0.0,8.0,2.0
curling-wcf-world-2026-833-3-2,2026-03-28,2026,1,WCF-WORLD,Germany,Czechia,1.0,1.0,0.0,8.0,7.0
curling-wcf-world-2026-833-6-1,2026-03-29,2026,1,WCF-WORLD,Czechia,Korea,1.0,1.0,0.0,7.0,6.0
curling-wcf-world-2026-833-7-1,2026-03-29,2026,1,WCF-WORLD,Czechia,Switzerland,1.0,1.0,0.0,9.0,7.0
