game_id,date,season,week,league,away,home,assisted_tackles,forced_fumbles,pass_defended,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,solo_tackles,tackles
FOOTBALL_IFL_2026_5_24_TNEWMEXICOCHUPACABRASG20260524HN6I@TORLANDOPIRATES,2026-05-24,2026,,IFL,New Mexico Chupacabras,Orlando Pirates,1.0,1.0,1.0,,,,,,,1.0,2.0
FOOTBALL_NAL_2026_3_28_T570666G1127148@T577047,2026-03-29,2026,4,NAL,Sioux City Bandits,Pueblo Punishers,,,,2.0,2.0,1.0,0.0,0.0,2.0,,
FOOTBALL_NAL_2026_4_11_T573852G1127153@T577047,2026-04-12,2026,6,NAL,Louisiana Rouxgaroux,Pueblo Punishers,,,,3.0,7.0,3.0,0.0,0.0,9.0,,
FOOTBALL_IFL_2026_5_9_TFISHERSFREIGHTG202605096WJ9@TORLANDOPIRATES,2026-05-09,2026,9,IFL,Fishers Freight,Orlando Pirates,5.0,,,,,,,,,3.0,8.0
FOOTBALL_IFL_2026_5_18_TVEGASKNIGHTHAWKSG20260518L91R@TORLANDOPIRATES,2026-05-18,2026,10,IFL,Vegas Knight Hawks,Orlando Pirates,1.0,,,,,,,,,1.0,2.0
