game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals,sh_goals
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,51.0,14.0,20.0,10.0,71.0,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,64.0,18.0,25.0,9.0,89.0,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,32.0,18.0,14.0,6.0,46.0,10.0,4.0,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,33.0,18.0,25.0,8.0,58.0,5.0,3.0,2.0
