game_id,date,season,week,league,away,home,assisted_tackles,fumbles,fumbles_lost,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles
FOOTBALL_IFL_2026_6_27_TTULSAOILERSG2026062789TG@TIOWABARNSTORMERS,2026-06-27,2026,16,IFL,Tulsa Oilers,Iowa Barnstormers,,,,12.7,29.0,1.0,38.0,3.0,6.0,6.0,1.0,0.0,6.0,,
FOOTBALL_IFL_2026_7_11_TGREENBAYBLIZZARDG20260711PZT2@TIOWABARNSTORMERS,2026-07-11,2026,18,IFL,Green Bay Blizzard,Iowa Barnstormers,,1.0,1.0,12.8,29.0,2.0,77.0,6.0,,,,,,,
FOOTBALL_IFL_2026_7_18_TIOWABARNSTORMERSG202607188NRO@TJACKSONVILLESHARKS,2026-07-18,2026,19,IFL,Iowa Barnstormers,Jacksonville Sharks,,,,7.0,11.0,1.0,21.0,3.0,,,,,,,
FOOTBALL_IFL_2026_7_24_TSANANTONIOGUNSLINGERSG20260724MW4T@TIOWABARNSTORMERS,2026-07-24,2026,20,IFL,San Antonio Gunslingers,Iowa Barnstormers,1.0,1.0,0.0,15.0,15.0,0.0,15.0,1.0,11.0,11.0,1.0,0.0,11.0,0.0,1.0
