game_id,date,season,week,league,away,home,def_pd,def_tackles,gp,kr_no,kr_yds,pass_att,pass_cmp,pass_td,pass_yds,pr_no,pr_td,pr_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,,9.0,3.0,41.0,2.0,1.0,1.0,2.0,1.0,,7.0,1.0,21.0,47.0,7.0,750.0,2.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,3.0,12.0,,,,,,,14.0,,119.0,12.0,448.0,40.0,5.0,608.0,1.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,2.0,12.0,1.0,36.0,1.0,1.0,1.0,4.0,,,,36.0,1234.0,22.0,5.0,411.0,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,,12.0,,,1.0,1.0,1.0,78.0,5.0,1.0,94.0,30.0,1097.0,14.0,1.0,89.0,1.0
