game_id,date,season,week,league,away,home,blocked_punt,dst_touchdown,fumble_recoveries,interceptions_made,points_against,sacks
SYNTHETIC_USFL_2022_W1_MICH,,2022,1,USFL,,,,,0.0,1.0,17.0,1.0
SYNTHETIC_USFL_2022_W2_MICH,,2022,2,USFL,,,,,1.0,1.0,10.0,0.0
SYNTHETIC_USFL_2022_W3_MICH,,2022,3,USFL,,,1.0,,0.0,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W4_MICH,,2022,4,USFL,,,,,1.0,1.0,26.0,2.0
SYNTHETIC_USFL_2022_W5_MICH,,2022,5,USFL,,,,,0.0,0.0,27.0,1.0
SYNTHETIC_USFL_2022_W6_MICH,,2022,6,USFL,,,,,0.0,0.0,33.0,3.0
SYNTHETIC_USFL_2022_W7_MICH,,2022,7,USFL,,,,,1.0,0.0,31.0,1.0
SYNTHETIC_USFL_2022_W8_MICH,,2022,8,USFL,,,,,0.0,0.0,46.0,3.0
SYNTHETIC_USFL_2022_W9_MICH,,2022,9,USFL,,,,,0.0,1.0,25.0,2.0
SYNTHETIC_USFL_2022_W10_MICH,,2022,10,USFL,,,,1.0,1.0,1.0,21.0,2.0
