game_id,date,season,week,league,away,home,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2023_SEASON_TOTAL,,2023,1,PUL,,,1.0,,2.0,,2.0,2.0,1.0
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,2.0,20.0,2.0,6.0,4.0,10.0,
