game_id,date,season,week,league,away,home,def_int,def_pd,def_tackles,fg_att,fg_made,gp,pat_att,pat_made
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,2.0,8.0,9.0,5.0,11.0,31.0,24.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,,6.0,4.0,3.0,5.0,4.0
