game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pass_att,pass_cmp,pass_td,pass_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,2.0,10.0,9.0,147.0,,,,,5.0,51.0,53.0,6.0,793.0,8.0,1.0,20.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,12.0,12.0,262.0,,,,,12.0,105.0,40.0,5.0,472.0,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,9.0,,,1.0,1.0,1.0,7.0,,,14.0,1.0,143.0,,,
