game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pass_att,pass_cmp,pass_int,pass_td,pass_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,12.0,,,7.0,3.0,,,41.0,11.0,4.0,161.0,7.0,,41.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,12.0,3.0,49.0,,,,,,48.0,4.0,761.0,1.0,,7.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,,,19.0,12.0,1.0,2.0,164.0,42.0,9.0,486.0,10.0,1.0,50.0
