game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,sh_goals,sog,to
NLL_2022_SEASON_TOTAL,,,1,,,,7.0,,,18.0,1.0,,22.0,,8.0,,,
NLL_2023_SEASON_TOTAL,,,1,,,,6.0,,,18.0,8.0,,10.0,,14.0,1.0,,
703329312,2025-10-28,2025,1,NLL,TORONTO,OSHAWA,1.0,1.0,1.0,,0.0,1.0,,1.0,,,1.0,1.0
703344673,2025-12-05,2025,1,NLL,OSHAWA,HALIFAX,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0
