game_id,date,season,week,league,away,home,def_int,def_pd,def_sacks,def_tackles,gp,pass_att,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,1.0,1.5,26.0,8.0,,2.0,1.0,35.0,25.0,1.0,110.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,,,4.0,1.0,1.0,,5.0,38.0,2.0,158.0
