game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_14_OTT@HAM,2016-10-14,2016,1,CFL,OTT,HAM,,,15.0,5.0,5.0,,38.0,39.0,,,,14.0,15.0,,66.0,,,,,
FOOTBALL_CFL_2016_10_1_OTT@BC,2016-10-01,2016,1,CFL,OTT,BC,,,11.0,3.0,4.0,,10.0,16.0,16.0,1.0,16.0,11.0,8.0,1.0,48.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_10_21_HAM@OTT,2016-10-21,2016,1,CFL,HAM,OTT,2.0,2.0,15.0,3.0,5.0,,29.0,29.0,,,,15.0,13.0,1.0,85.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_10_29_OTT@WPG,2016-10-29,2016,1,CFL,OTT,WPG,,,8.0,1.0,2.0,,8.0,8.0,,,,21.0,40.0,1.0,125.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_10_7_SSK@OTT,2016-10-07,2016,1,CFL,SSK,OTT,,,13.0,2.0,2.0,,7.0,21.0,,,,15.0,10.0,,75.0,,,,,
FOOTBALL_CFL_2016_11_20_EDM@OTT,2016-11-20,2016,1,CFL,EDM,OTT,,,,,,,,,,,,2.0,7.0,,14.0,,,,,
FOOTBALL_CFL_2016_9_23_TOR@OTT,2016-09-23,2016,1,CFL,TOR,OTT,,,,,,,,,,,,16.0,30.0,,91.0,,,,,
FOOTBALL_CFL_2017_6_29_OTT@CGY,2017-06-29,2017,1,CFL,OTT,CGY,,,9.0,1.0,1.0,,9.0,9.0,,,,13.0,18.0,1.0,74.0,1.0,,8.0,1.0,1.0
FOOTBALL_CFL_2017_7_24_OTT@TOR,2017-07-24,2017,1,CFL,OTT,TOR,,,4.0,1.0,1.0,,4.0,4.0,,,,2.0,6.0,,9.0,1.0,,2.0,,
FOOTBALL_CFL_2017_7_8_TOR@OTT,2017-07-08,2017,1,CFL,TOR,OTT,,,11.0,5.0,6.0,1.0,28.0,36.0,,,,14.0,16.0,,51.0,1.0,1.0,8.0,,1.0
FOOTBALL_CFL_2017_8_10_EDM@OTT,2017-08-10,2017,1,CFL,EDM,OTT,,,6.0,4.0,5.0,,-1.0,2.0,,,,6.0,22.0,,23.0,,,,,
FOOTBALL_CFL_2017_8_26_BC@OTT,2017-08-26,2017,1,CFL,BC,OTT,,,19.0,5.0,6.0,1.0,31.0,40.0,,,,11.0,,1.0,42.0,,1.0,12.0,1.0,2.0
FOOTBALL_CFL_2017_8_31_OTT@MTL,2017-08-31,2017,1,CFL,OTT,MTL,,,35.0,3.0,4.0,,34.0,45.0,,,,14.0,13.0,,64.0,1.0,,2.0,,
FOOTBALL_CFL_2017_9_9_HAM@OTT,2017-09-09,2017,1,CFL,HAM,OTT,,,37.0,4.0,8.0,,10.0,52.0,,,,11.0,15.0,,54.0,1.0,,2.0,,
FOOTBALL_CFL_2018_10_27_OTT@HAM,2018-10-27,2018,1,CFL,OTT,HAM,,,10.0,1.0,2.0,,1.0,10.0,,,,11.0,8.0,,26.0,,,,,
FOOTBALL_CFL_2018_11_2_TOR@OTT,2018-11-02,2018,1,CFL,TOR,OTT,,,,,,,,,,,,14.0,14.0,1.0,78.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_6_15_OTT@CGY,2019-06-15,2019,1,CFL,OTT,CGY,,,8.0,6.0,7.0,,26.0,28.0,,,,24.0,15.0,,112.0,,,,,
FOOTBALL_CFL_2019_6_20_SSK@OTT,2019-06-20,2019,1,CFL,SSK,OTT,,,8.0,3.0,3.0,,6.0,8.0,,,,14.0,11.0,,50.0,1.0,,2.0,,
FOOTBALL_CFL_2019_7_13_MTL@OTT,2019-07-13,2019,1,CFL,MTL,OTT,,,5.0,2.0,2.0,,6.0,7.0,,,,11.0,12.0,,47.0,,,,,
FOOTBALL_CFL_2019_7_5_WPG@OTT,2019-07-05,2019,1,CFL,WPG,OTT,,,,,1.0,,,,,,,6.0,8.0,,18.0,,,,,
FOOTBALL_CFL_2019_8_17_HAM@OTT,2019-08-17,2019,1,CFL,HAM,OTT,,,11.0,2.0,4.0,,12.0,16.0,,,,9.0,35.0,,55.0,,,,,
FOOTBALL_CFL_2019_9_13_OTT@BC,2019-09-13,2019,1,CFL,OTT,BC,,,13.0,6.0,10.0,,44.0,49.0,,,,8.0,12.0,,28.0,,,,,
FOOTBALL_CFL_2019_9_21_BC@OTT,2019-09-21,2019,1,CFL,BC,OTT,,,-1.0,1.0,3.0,,-1.0,-1.0,,,,12.0,15.0,,57.0,,,,,
FOOTBALL_CFL_2019_9_28_EDM@OTT,2019-09-28,2019,1,CFL,EDM,OTT,,,12.0,3.0,3.0,,11.0,11.0,,,,13.0,11.0,,25.0,,,,,
FOOTBALL_CFL_2019_9_7_TOR@OTT,2019-09-07,2019,1,CFL,TOR,OTT,,,14.0,12.0,14.0,,80.0,83.0,,,,6.0,6.0,,21.0,,,,,
