game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W1_RADICALS,,,1,AUDL,,,0.0,1.0,,,,0.0,0.0,,,,0.0,5.0,75.0
SYNTHETIC_AUDL_W2_RADICALS,,,2,AUDL,,,1.0,0.0,,,,0.0,2.0,,,,0.0,43.0,71.0
SYNTHETIC_AUDL_W3_RADICALS,,,3,AUDL,,,0.0,0.0,,,,0.0,0.0,,,,1.0,21.0,23.0
2022-06-18-ATX-MAD,2022-06-18,2022,4,,ATX,MAD,2.0,0.0,,,,0.0,1.0,,,,0.0,71.0,214.0
2022-06-25-MAD-MIN,2022-06-25,2022,5,,MAD,MIN,0.0,0.0,,,,1.0,0.0,,,,1.0,38.0,52.0
2022-07-10-MIN-MAD,2022-07-10,2022,7,,MIN,MAD,0.0,0.0,,,,0.0,0.0,,,,0.0,28.0,17.0
2022-07-15-IND-MAD,2022-07-15,2022,8,,IND,MAD,1.0,0.0,,,,0.0,1.0,,,,0.0,54.0,125.0
2022-07-16-MAD-DET,2022-07-16,2022,8,,MAD,DET,1.0,0.0,,,,0.0,2.0,,,,1.0,84.0,163.0
2022-07-29-CHI-MAD,2022-07-29,2022,10,,CHI,MAD,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
2023-04-29-MAD-PIT,2023-04-29,2023,1,,MAD,PIT,2.0,1.0,,8.0,8.0,,,1.0,,8.0,,50.0,81.0
2023-05-20-MAD-IND,2023-05-20,2023,4,,MAD,IND,1.0,1.0,,9.0,11.0,1.0,1.0,,,12.0,1.0,-10.0,83.0
2023-05-27-CHI-MAD,2023-05-27,2023,5,,CHI,MAD,1.0,,,23.0,26.0,,1.0,3.0,1.0,26.0,,121.0,184.0
2023-06-04-PIT-MAD,2023-06-04,2023,6,,PIT,MAD,1.0,1.0,,12.0,12.0,,2.0,1.0,,13.0,1.0,95.0,131.0
2023-06-10-MAD-MIN,2023-06-10,2023,7,,MAD,MIN,1.0,,,11.0,14.0,,,2.0,,15.0,1.0,26.0,112.0
2023-06-23-IND-MAD,2023-06-23,2023,9,,IND,MAD,2.0,,,10.0,11.0,,1.0,1.0,1.0,12.0,1.0,45.0,92.0
2023-07-01-MAD-IND,2023-07-01,2023,10,,MAD,IND,1.0,,,14.0,17.0,,1.0,2.0,1.0,17.0,,64.0,195.0
2023-07-07-MIN-MAD,2023-07-07,2023,11,,MIN,MAD,4.0,,,14.0,16.0,,3.0,1.0,1.0,17.0,,8.0,181.0
2023-07-08-MAD-DET,2023-07-08,2023,11,,MAD,DET,,2.0,1.0,,,,,,,,1.0,,
2023-07-21-MAD-CHI,2023-07-21,2023,13,,MAD,CHI,3.0,,,13.0,15.0,,,2.0,,16.0,1.0,37.0,145.0
2023-07-22-DET-MAD,2023-07-22,2023,13,,DET,MAD,,0.0,,,,,,,,,,,
2024-05-11-MAD-PIT,2024-05-11,2024,3,,MAD,PIT,1.0,1.0,,,,0.0,0.0,,,,2.0,26.0,0.0
2024-05-18-MAD-DET,2024-05-18,2024,4,,MAD,DET,1.0,1.0,,,,0.0,0.0,,,,0.0,12.0,108.0
2024-05-24-MIN-MAD,2024-05-24,2024,5,,MIN,MAD,0.0,0.0,,,,0.0,0.0,,,,0.0,-3.0,13.0
2024-05-31-MAD-CHI,2024-05-31,2024,6,,MAD,CHI,2.0,0.0,,,,0.0,1.0,,,,0.0,59.0,95.0
2024-06-02-DET-MAD,2024-06-02,2024,6,,DET,MAD,3.0,0.0,,,,0.0,0.0,,,,0.0,20.0,111.0
2024-06-08-MAD-DET,2024-06-08,2024,7,,MAD,DET,2.0,1.0,,,,1.0,0.0,,,,1.0,38.0,232.0
2024-06-14-COL-MAD,2024-06-14,2024,8,,COL,MAD,0.0,0.0,,,,0.0,0.0,,,,0.0,93.0,254.0
2024-06-22-MAD-MIN,2024-06-22,2024,9,,MAD,MIN,0.0,0.0,,,,0.0,0.0,,,,2.0,16.0,111.0
2024-06-29-MAD-IND,2024-06-29,2024,10,,MAD,IND,1.0,0.0,,,,0.0,0.0,,,,2.0,78.0,232.0
2024-07-06-PIT-MAD,2024-07-06,2024,11,,PIT,MAD,3.0,0.0,,,,0.0,1.0,,,,0.0,67.0,84.0
2024-07-12-CHI-MAD,2024-07-12,2024,12,,CHI,MAD,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0
2024-07-19-IND-MAD,2024-07-19,2024,13,,IND,MAD,4.0,1.0,,,,0.0,2.0,,,,0.0,63.0,121.0
2025-04-26-MAD-MIN,2025-04-26,2025,1,,MAD,MIN,1.0,1.0,,,,1.0,1.0,,,,1.0,115.0,389.0
2025-05-02-MAD-HTX,2025-05-02,2025,2,,MAD,HTX,1.0,1.0,,,,0.0,0.0,,,,1.0,35.0,211.0
2025-05-03-MAD-ATX,2025-05-03,2025,2,,MAD,ATX,1.0,0.0,,,,0.0,1.0,,,,0.0,39.0,229.0
2025-05-17-PIT-MAD,2025-05-17,2025,4,,PIT,MAD,0.0,0.0,,,,0.0,2.0,,,,1.0,72.0,173.0
2025-05-30-IND-MAD,2025-05-30,2025,6,,IND,MAD,1.0,1.0,,,,0.0,0.0,,,,1.0,57.0,177.0
2025-06-08-MAD-CHI,2025-06-08,2025,7,,MAD,CHI,1.0,0.0,,,,0.0,2.0,,,,0.0,70.0,156.0
2025-06-13-MIN-MAD,2025-06-13,2025,8,,MIN,MAD,1.0,1.0,,,,1.0,0.0,,,,2.0,32.0,228.0
2025-06-14-MAD-DET,2025-06-14,2025,8,,MAD,DET,0.0,0.0,,,,0.0,0.0,,,,0.0,46.0,152.0
2025-06-27-DET-MAD,2025-06-27,2025,10,,DET,MAD,2.0,0.0,,,,0.0,1.0,,,,1.0,101.0,120.0
2025-06-28-MAD-IND,2025-06-28,2025,10,,MAD,IND,0.0,1.0,,,,0.0,0.0,,,,1.0,106.0,12.0
2025-07-05-IND-MAD,2025-07-05,2025,11,,IND,MAD,1.0,0.0,,,,0.0,2.0,,,,1.0,62.0,126.0
2025-07-12-MAD-MIN,2025-07-12,2025,12,,MAD,MIN,0.0,0.0,,,,1.0,0.0,,,,2.0,66.0,90.0
2025-07-20-CHI-MAD,2025-07-20,2025,13,,CHI,MAD,0.0,0.0,,,,0.0,0.0,,,,1.0,25.0,87.0
