game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_10_21_HAM@OTT,2016-10-21,2016,1,CFL,HAM,OTT,,,39.0,5.0,6.0,1.0,8.0,102.0,,1.0,6.0,1.0
FOOTBALL_CFL_2016_10_28_EDM@HAM,2016-10-28,2016,1,CFL,EDM,HAM,1.0,1.0,28.0,5.0,6.0,,24.0,72.0,1.0,,2.0,
FOOTBALL_CFL_2016_10_2_TOR@MTL,2016-10-02,2016,1,CFL,TOR,MTL,,,14.0,2.0,4.0,,,14.0,,,,
FOOTBALL_CFL_2016_11_13_EDM@HAM,2016-11-13,2016,1,CFL,EDM,HAM,1.0,1.0,8.0,1.0,1.0,,4.0,8.0,,,,
FOOTBALL_CFL_2016_11_5_MTL@HAM,2016-11-05,2016,1,CFL,MTL,HAM,,,15.0,5.0,9.0,,7.0,46.0,1.0,,2.0,
FOOTBALL_CFL_2016_6_23_HAM@TOR,2016-06-23,2016,1,CFL,HAM,TOR,,,,,2.0,,,,,,,
FOOTBALL_CFL_2016_8_20_EDM@TOR,2016-08-20,2016,1,CFL,EDM,TOR,1.0,1.0,8.0,2.0,5.0,,5.0,15.0,,,,
FOOTBALL_CFL_2016_8_31_BC@TOR,2016-08-31,2016,1,CFL,BC,TOR,,,31.0,6.0,6.0,1.0,18.0,89.0,,1.0,6.0,1.0
FOOTBALL_CFL_2016_9_11_HAM@TOR,2016-09-11,2016,1,CFL,HAM,TOR,,,24.0,6.0,8.0,,28.0,91.0,,,,
FOOTBALL_CFL_2016_9_17_TOR@WPG,2016-09-17,2016,1,CFL,TOR,WPG,,,21.0,3.0,4.0,,12.0,39.0,,,,
FOOTBALL_CFL_2016_9_23_TOR@OTT,2016-09-23,2016,1,CFL,TOR,OTT,,,14.0,4.0,11.0,1.0,3.0,46.0,,1.0,6.0,1.0
FOOTBALL_CFL_2016_9_5_TOR@HAM,2016-09-05,2016,1,CFL,TOR,HAM,,,,,1.0,,,,,,,
FOOTBALL_CFL_2018_11_3_WPG@EDM,2018-11-03,2018,1,CFL,WPG,EDM,,,12.0,2.0,2.0,,,16.0,,,,
FOOTBALL_CFL_2018_8_18_BC@TOR,2018-08-18,2018,1,CFL,BC,TOR,,,8.0,4.0,8.0,,13.0,28.0,,,,
FOOTBALL_CFL_2018_8_25_SSK@BC,2018-08-25,2018,1,CFL,SSK,BC,,,7.0,1.0,4.0,,2.0,7.0,,,,
FOOTBALL_CFL_2018_8_4_BC@CGY,2018-08-04,2018,1,CFL,BC,CGY,,,36.0,4.0,4.0,,9.0,62.0,,,,
FOOTBALL_CFL_2018_8_9_EDM@BC,2018-08-09,2018,1,CFL,EDM,BC,,,36.0,5.0,8.0,1.0,33.0,79.0,,1.0,6.0,1.0
FOOTBALL_CFL_2018_9_7_OTT@BC,2018-09-07,2018,1,CFL,OTT,BC,,,,,3.0,,,,,,,
