game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds
FOOTBALL_CFL_2022_10_14_MTL@OTT,2022-10-14,2022,1,CFL,MTL,OTT,,,,6.0,2.0,2.0,,11.0
FOOTBALL_CFL_2022_10_29_HAM@OTT,2022-10-29,2022,1,CFL,HAM,OTT,,,,21.0,3.0,4.0,11.0,33.0
6280,2022-10-14,2022,19,CFL,MTL,OTT,0.0,11.0,2.0,,,,,
9889304,2023-07-15,2023,6,CFL,WPG,OTT,0.0,0.0,0.0,,,,,
9889363,2023-10-28,2023,21,CFL,TOR,OTT,1.0,16.0,1.0,,,,,
10798062,2024-08-24,2024,12,CFL,BC,OTT,0.0,3.0,1.0,,,,,
10798081,2024-09-28,2024,17,CFL,OTT,SSK,0.0,20.0,1.0,,,,,
11824071,2025-07-20,2025,7,CFL,HAM,OTT,0.0,30.0,1.0,,,,,
11824075,2025-07-27,2025,8,CFL,HAM,BC,0.0,8.0,2.0,,,,,
11824078,2025-08-02,2025,9,CFL,HAM,EDM,0.0,19.0,3.0,,,,,
11824080,2025-08-07,2025,10,CFL,BC,HAM,0.0,6.0,1.0,,,,,
11824086,2025-08-16,2025,11,CFL,HAM,SSK,0.0,1.0,1.0,,,,,
