game_id,date,season,week,league,away,home,def_fr,def_pd,def_sacks,def_tackles,gp
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,1.0,1.5,60.0,12.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,3.0,3.0,1.5,86.0,12.0
