game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,4.0,12.0,22.0,4.0,335.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,9.0,7.0,1.0,119.0
