game_id,date,season,week,league,away,home,def_ff,def_pd,def_sacks,def_tackles,gp
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,2.0,16.0,12.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,2.0,7.0,9.5,33.0,9.0
