game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,9.0,3.0,39.0,,,16.0,2.0,131.0,38.0,,101.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,12.0,,,,,34.0,3.0,332.0,62.0,1.0,155.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,12.0,5.0,137.0,2.0,34.0,26.0,1.0,178.0,98.0,3.0,339.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,7.0,5.0,59.0,1.0,22.0,17.0,,104.0,65.0,,131.0
