game_id,date,season,week,league,away,home,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
cricket-t20i-2012-09-10-551594,2012-09-10,2012,1,T20I,England,West Indies,6.0,0.0,0.0,12.0,0.0,0.0,,1.0
cricket-t20i-2012-09-15-551596,2012-09-15,2012,1,T20I,England,West Indies,12.0,0.0,0.0,25.0,0.0,0.0,,1.0
cricket-odi-2013-02-22-603239,2013-02-22,2013,1,ODI,Sri Lanka,West Indies,30.0,1.0,0.0,21.0,0.0,3.0,,1.0
cricket-odi-2013-02-24-603240,2013-02-24,2013,1,ODI,Sri Lanka,West Indies,42.0,0.0,0.0,37.0,1.0,2.0,,1.0
cricket-t20i-2013-01-20-588499,2013-01-20,2013,1,T20I,West Indies,South Africa,24.0,0.0,0.0,17.0,0.0,1.0,,1.0
cricket-t20i-2013-03-03-603243,2013-03-03,2013,1,T20I,Sri Lanka,West Indies,24.0,0.0,0.0,10.0,2.0,0.0,,1.0
cricket-t20i-2013-03-05-603244,2013-03-05,2013,1,T20I,Sri Lanka,West Indies,14.0,0.0,0.0,14.0,1.0,3.0,1.0,1.0
cricket-t20i-2013-03-08-603246,2013-03-08,2013,1,T20I,Sri Lanka,West Indies,24.0,0.0,0.0,11.0,1.0,2.0,,1.0
cricket-odi-2014-11-13-754811,2014-11-13,2014,1,ODI,Australia,West Indies,18.0,0.0,0.0,20.0,0.0,3.0,,1.0
cricket-odi-2014-11-16-754813,2014-11-16,2014,1,ODI,Australia,West Indies,42.0,0.0,0.0,34.0,0.0,3.0,,1.0
cricket-odi-2014-11-18-754815,2014-11-18,2014,1,ODI,Australia,West Indies,60.0,0.0,0.0,50.0,1.0,7.0,2.0,1.0
cricket-t20i-2015-05-23-856117,2015-05-23,2015,1,T20I,Sri Lanka,West Indies,6.0,0.0,0.0,12.0,0.0,1.0,,1.0
cricket-t20i-2015-05-25-856119,2015-05-25,2015,1,T20I,Sri Lanka,West Indies,6.0,0.0,0.0,10.0,0.0,1.0,,1.0
