game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,misc_td,sacks,score_fr,score_pts,score_tot,tackles
FOOTBALL_CFL_2021_11_16_EDM@TOR,2021-11-16,2021,1,CFL,EDM,TOR,1.0,1.0,,,,,,,
FOOTBALL_CFL_2021_12_5_HAM@TOR,2021-12-05,2021,1,CFL,HAM,TOR,1.0,1.0,,,,,,,
FOOTBALL_CFL_2022_10_1_TOR@CGY,2022-10-01,2022,1,CFL,TOR,CGY,1.0,1.0,,,,,,,
FOOTBALL_CFL_2022_6_25_TOR@BC,2022-06-25,2022,1,CFL,TOR,BC,1.0,1.0,,,,,,,
FOOTBALL_CFL_2022_7_16_SSK@TOR,2022-07-16,2022,1,CFL,SSK,TOR,1.0,1.0,,,,,,,
FOOTBALL_CFL_2022_7_24_TOR@SSK,2022-07-24,2022,1,CFL,TOR,SSK,1.0,1.0,,,,,,,
FOOTBALL_CFL_2022_7_31_OTT@TOR,2022-07-31,2022,1,CFL,OTT,TOR,1.0,1.0,,,,,,,
FOOTBALL_CFL_2022_8_6_HAM@TOR,2022-08-06,2022,1,CFL,HAM,TOR,,,,1.0,,1.0,6.0,1.0,
9889321,2023-08-13,2023,10,CFL,OTT,TOR,,,0.0,,0.0,,,,0.0
9889327,2023-08-25,2023,12,CFL,CGY,TOR,,,0.0,,0.0,,,,0.0
9889335,2023-09-09,2023,14,CFL,MTL,TOR,,,0.0,,0.0,,,,0.0
9889338,2023-09-15,2023,15,CFL,TOR,MTL,,,0.0,,0.0,,,,0.0
9889345,2023-09-23,2023,16,CFL,HAM,TOR,,,0.0,,0.0,,,,0.0
9889346,2023-09-29,2023,17,CFL,TOR,WPG,,,0.0,,0.0,,,,0.0
9889357,2023-10-14,2023,19,CFL,OTT,TOR,,,0.0,,1.0,,,,1.0
9889363,2023-10-28,2023,21,CFL,TOR,OTT,,,0.0,,0.0,,,,0.0
10798019,2024-06-09,2024,1,CFL,BC,TOR,,,,,,,,,1.0
