game_id,date,season,week,league,away,home,def_solo,def_tot,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot
FOOTBALL_CFL_2018_10_13_OTT@EDM,2018-10-13,2018,1,CFL,OTT,EDM,,,38.0,31.0,,,,,1.0,369.0,10.0,16.0,,72.0,,,
FOOTBALL_CFL_2018_10_19_EDM@BC,2018-10-19,2018,1,CFL,EDM,BC,,,28.0,18.0,,51.0,27.0,4.0,1.0,268.0,8.0,13.0,1.0,35.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_10_8_EDM@SSK,2018-10-08,2018,1,CFL,EDM,SSK,,,27.0,13.0,3.0,71.0,20.0,5.0,,222.0,8.0,13.0,,57.0,,,
FOOTBALL_CFL_2018_11_3_WPG@EDM,2018-11-03,2018,1,CFL,WPG,EDM,,,35.0,29.0,1.0,23.0,11.0,2.0,1.0,320.0,9.0,19.0,,41.0,,,
FOOTBALL_CFL_2018_6_14_EDM@WPG,2018-06-14,2018,1,CFL,EDM,WPG,,,46.0,32.0,1.0,,6.0,1.0,1.0,408.0,11.0,14.0,2.0,43.0,12.0,2.0,2.0
FOOTBALL_CFL_2018_6_22_HAM@EDM,2018-06-22,2018,1,CFL,HAM,EDM,,,30.0,20.0,1.0,,8.0,1.0,2.0,286.0,5.0,15.0,1.0,26.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_6_29_BC@EDM,2018-06-29,2018,1,CFL,BC,EDM,,,30.0,22.0,2.0,,6.0,1.0,3.0,326.0,8.0,9.0,1.0,15.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_7_13_TOR@EDM,2018-07-13,2018,1,CFL,TOR,EDM,1.0,1.0,36.0,21.0,1.0,43.0,5.0,1.0,2.0,258.0,6.0,15.0,,55.0,,,
FOOTBALL_CFL_2018_7_26_EDM@MTL,2018-07-26,2018,1,CFL,EDM,MTL,,,32.0,24.0,,,,,4.0,415.0,7.0,10.0,1.0,26.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_7_7_EDM@TOR,2018-07-07,2018,1,CFL,EDM,TOR,,,40.0,28.0,1.0,50.0,,,1.0,370.0,5.0,4.0,,11.0,,,
FOOTBALL_CFL_2018_8_18_MTL@EDM,2018-08-18,2018,1,CFL,MTL,EDM,,,42.0,33.0,1.0,40.0,24.0,5.0,3.0,424.0,8.0,10.0,1.0,30.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_8_23_EDM@HAM,2018-08-23,2018,1,CFL,EDM,HAM,,,25.0,15.0,,,18.0,3.0,3.0,250.0,4.0,11.0,,31.0,,,
FOOTBALL_CFL_2018_8_2_SSK@EDM,2018-08-02,2018,1,CFL,SSK,EDM,,,27.0,13.0,,61.0,25.0,4.0,1.0,257.0,5.0,10.0,1.0,22.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_8_9_EDM@BC,2018-08-09,2018,1,CFL,EDM,BC,,,41.0,26.0,2.0,51.0,25.0,3.0,2.0,302.0,1.0,,1.0,1.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_9_22_EDM@OTT,2018-09-22,2018,1,CFL,EDM,OTT,1.0,1.0,41.0,27.0,1.0,39.0,14.0,2.0,1.0,276.0,4.0,3.0,1.0,6.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_9_29_WPG@EDM,2018-09-29,2018,1,CFL,WPG,EDM,,,31.0,17.0,2.0,26.0,22.0,4.0,,164.0,7.0,13.0,,41.0,,,
FOOTBALL_CFL_2018_9_3_EDM@CGY,2018-09-03,2018,1,CFL,EDM,CGY,,,28.0,19.0,1.0,,16.0,2.0,1.0,250.0,6.0,17.0,,40.0,,,
FOOTBALL_CFL_2018_9_8_CGY@EDM,2018-09-08,2018,1,CFL,CGY,EDM,,,44.0,30.0,1.0,42.0,20.0,3.0,3.0,397.0,8.0,17.0,3.0,43.0,18.0,3.0,3.0
