game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-PHI-NY,2023-04-29,2023,1,,PHI,NY,1.0,1.0,23.0,28.0,,,1.0,,,33.0,3.0,50.0,170.0
2023-05-07-PHI-DC,2023-05-07,2023,2,,PHI,DC,2.0,,43.0,46.0,,,2.0,1.0,,51.0,5.0,77.0,
2023-05-13-PHI-BOS,2023-05-13,2023,3,,PHI,BOS,,,34.0,37.0,,,1.0,,,43.0,6.0,1.0,26.0
2023-05-20-NY-PHI,2023-05-20,2023,4,,NY,PHI,2.0,2.0,19.0,18.0,1.0,,2.0,1.0,,20.0,2.0,116.0,153.0
2023-05-27-PHI-PIT,2023-05-27,2023,5,,PHI,PIT,1.0,,32.0,30.0,,1.0,2.0,1.0,,31.0,,77.0,171.0
2023-06-03-CAR-PHI,2023-06-03,2023,6,,CAR,PHI,1.0,1.0,26.0,26.0,,2.0,1.0,,,26.0,,108.0,96.0
2023-06-10-PHI-TOR,2023-06-10,2023,7,,PHI,TOR,4.0,1.0,21.0,21.0,,,3.0,4.0,,21.0,,163.0,338.0
2023-06-17-MTL-PHI,2023-06-17,2023,8,,MTL,PHI,,,15.0,13.0,,2.0,2.0,1.0,,13.0,,119.0,155.0
2023-07-02-PHI-MTL,2023-07-02,2023,10,,PHI,MTL,2.0,1.0,22.0,23.0,,,2.0,1.0,,24.0,1.0,131.0,163.0
2023-07-07-BOS-PHI,2023-07-07,2023,11,,BOS,PHI,1.0,,25.0,24.0,,,4.0,1.0,,26.0,2.0,61.0,182.0
2023-07-15-DC-PHI,2023-07-15,2023,12,,DC,PHI,3.0,,34.0,31.0,,,2.0,1.0,1.0,33.0,1.0,91.0,163.0
2023-07-22-TOR-PHI,2023-07-22,2023,13,,TOR,PHI,2.0,,32.0,28.0,,,1.0,1.0,,31.0,3.0,178.0,188.0
