game_id,date,season,week,league,away,home,assists,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,1.0,,8.0,,11.0,1.0,19.0,
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,1.0,1.0,6.0,2.0,24.0,-7.0,66.0,11.0
