game_id,date,season,week,league,away,home,interceptions_made,sacks,tackles
SYNTHETIC_CFL_2023_W16_TOR,2023-09-23,2023,16,CFL,HAM,TOR,0.0,0.0,1.0
SYNTHETIC_CFL_2024_W1_TOR,2024-06-09,2024,1,CFL,BC,TOR,,,1.0
