game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumble_recovery_yards,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_yards,passing_yds_lost,pat_made,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,recv_td,rush_avg,rush_long,rush_td,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles
FOOTBALL_UFL_2025_4_6_SA@STL,2025-04-06,2025,2,UFL,SA,STL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
FOOTBALL_UFL_2025_5_10_DC@SA,2025-05-10,2025,7,UFL,DC,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
FOOTBALL_UFL_2025_5_17_MEM@SA,2025-05-17,2025,8,UFL,MEM,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
FOOTBALL_UFL_2025_5_24_STL@SA,2025-05-24,2025,9,UFL,STL,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
FOOTBALL_NAL_2026_3_7_T570667G1127138@T577047,2026-03-08,2026,1,NAL,Colorado Spartans,Pueblo Punishers,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,7.0,11.0,0.0,15.0,1.0,1.0,0.0,1.0,1.0,119.0,0.0,1.0,1.0,1.0,0.0,,14.0,31.0,0.0,2.0,56.0,4.0,,,,,,,,,0.0,0.0,,2.0
FOOTBALL_UFL_2026_3_30_CLB@ORL,2026-03-30,2026,1,UFL,CLB,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
FOOTBALL_NAL_2026_3_14_T570667G1127141@T581933,2026-03-15,2026,2,NAL,Colorado Spartans,Dallas Bulls,1.0,,0.0,0.0,2.0,0.0,0.0,0.0,,,1.0,14.0,14.0,0.0,14.0,,,,,,,,,,,,,7.0,8.0,0.0,0.0,14.0,2.0,,0.0,10.0,,4.0,0.0,0.0,0.0,0.0,0.0,,4.0
FOOTBALL_UFL_2026_4_11_ORL@LOU,2026-04-11,2026,3,UFL,ORL,LOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
FOOTBALL_IFL_2026_4_4_TGREENBAYBLIZZARDG2026040443LQ@TIOWABARNSTORMERS,2026-04-04,2026,4,IFL,Green Bay Blizzard,Iowa Barnstormers,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,1.0,8.0,1.0,,3.0,5.0,,2.0,,0.0,6.0,,,,
FOOTBALL_NAL_2026_3_28_T570667G1127147@T600411,2026-03-28,2026,4,NAL,Colorado Spartans,Salina Liberty,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,15.0,37.0,0.0,63.0,,,,,,,,,,,,,11.0,25.0,0.0,2.0,66.0,6.0,,,,,,,,,0.0,0.0,,2.0
FOOTBALL_NAL_2026_4_4_T570667G1127152@T600414,2026-04-04,2026,5,NAL,Colorado Spartans,Southwest Kansas Storm,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,17.0,25.0,0.0,35.0,,,,,,,,,,,,,13.0,26.0,0.0,3.0,80.0,6.0,,,,,,,,,0.0,0.0,,4.0
FOOTBALL_NAL_2026_4_11_T566773G1127154@T570667,2026-04-12,2026,6,NAL,Amarillo Warbirds,Colorado Spartans,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,13.0,17.0,0.0,26.0,,,,,,,,,,,,,25.0,0.0,0.0,1.0,25.0,1.0,,20.0,20.0,,1.0,0.0,0.0,20.0,0.0,0.0,,0.0
FOOTBALL_NAL_2026_4_18_T566774G1127156@T570667,2026-04-19,2026,7,NAL,Omaha Beef,Colorado Spartans,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,12.0,0.0,3.0,19.0,3.0,,4.0,5.0,,4.0,0.0,1.0,14.0,,,,
FOOTBALL_NAL_2026_5_2_T577047G1127165@T570667,2026-05-03,2026,9,NAL,Pueblo Punishers,Colorado Spartans,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,13.0,23.0,0.0,67.0,,,,,,,,,,,,,14.0,24.0,0.0,1.0,71.0,5.0,,,,,,,,,0.0,0.0,,1.0
FOOTBALL_IFL_2026_5_16_TGREENBAYBLIZZARDG202605163ZVX@TTULSAOILERS,2026-05-16,2026,10,IFL,Green Bay Blizzard,Tulsa Oilers,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,7.0,10.0,,0.0,21.0,3.0,,4.4,11.0,,10.0,,1.0,44.0,,,1.0,1.0
FOOTBALL_NAL_2026_5_10_T577047G1127169@T570667,2026-05-10,2026,10,NAL,Pueblo Punishers,Colorado Spartans,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,23.0,32.0,0.0,92.0,,,,,,,,,,,,,13.0,13.0,0.0,0.0,13.0,1.0,,0.0,2.0,,3.0,0.0,0.0,1.0,0.0,0.0,,2.0
