game_id,date,season,week,league,away,home,def_fr,def_tackles,gp,kr_no,kr_yds,pass_att,pr_no,pr_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,1.0,11.0,3.0,55.0,,,,,,36.0,1.0,377.0,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,1.0,12.0,,,1.0,6.0,28.0,1.0,30.0,34.0,3.0,512.0,15.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,6.0,2.0,40.0,,,,,,9.0,,95.0,
