game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,match_played
cricket-t20i-2024-06-09-1436472,2024-06-09,2024,1,T20I,Portugal,Hungary,18.0,2.0,1.0,6.0,18.0,0.0,,,,,,,1.0
cricket-t20i-2024-06-12-1436482,2024-06-12,2024,1,T20I,Israel,Hungary,11.0,0.0,0.0,6.0,5.0,0.0,24.0,0.0,0.0,21.0,1.0,0.0,1.0
cricket-t20i-2024-06-13-1436483,2024-06-13,2024,1,T20I,Hungary,Romania,6.0,1.0,1.0,11.0,5.0,0.0,12.0,0.0,0.0,18.0,0.0,0.0,1.0
cricket-t20i-2024-06-15-1436488,2024-06-15,2024,1,T20I,Austria,Hungary,3.0,0.0,0.0,10.0,1.0,0.0,18.0,0.0,0.0,35.0,2.0,7.0,1.0
cricket-t20i-2025-02-03-1470186,2025-02-03,2025,1,T20I,Hungary,Malta,2.0,0.0,0.0,10.0,0.0,0.0,,,,,,,1.0
cricket-t20i-2025-02-04-1470188,2025-02-04,2025,1,T20I,Hungary,Austria,,,,,,,18.0,0.0,0.0,28.0,0.0,0.0,1.0
cricket-t20i-2025-02-04-1470189,2025-02-04,2025,1,T20I,Malta,Hungary,,,,,,,18.0,0.0,0.0,21.0,1.0,3.0,1.0
cricket-t20i-2025-02-05-1470191,2025-02-05,2025,1,T20I,Austria,Hungary,2.0,0.0,0.0,9.0,0.0,0.0,18.0,0.0,0.0,14.0,0.0,1.0,1.0
cricket-t20i-2025-07-25-1495655,2025-07-25,2025,1,T20I,Hungary,Romania,2.0,0.0,1.0,10.0,0.0,0.0,,,,,,,1.0
cricket-t20i-2025-07-25-1495656,2025-07-25,2025,1,T20I,Hungary,Luxembourg,4.0,0.0,1.0,9.0,5.0,0.0,12.0,0.0,0.0,17.0,0.0,1.0,1.0
cricket-t20i-2025-07-26-1495658,2025-07-26,2025,1,T20I,Hungary,Austria,1.0,0.0,1.0,10.0,1.0,0.0,18.0,0.0,0.0,16.0,2.0,2.0,1.0
cricket-t20i-2025-08-17-1498191,2025-08-17,2025,1,T20I,Sweden,Hungary,11.0,0.0,1.0,10.0,6.0,0.0,24.0,0.0,0.0,41.0,0.0,2.0,1.0
cricket-t20i-2025-08-17-1498192,2025-08-17,2025,1,T20I,Norway,Hungary,7.0,0.0,1.0,10.0,4.0,0.0,24.0,0.0,0.0,32.0,1.0,3.0,1.0
