game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rush_td,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_IFL_2026_5_3_TARIZONARATTLERSG202605032RVU@TVEGASKNIGHTHAWKS,2026-05-03,2026,8,IFL,Arizona Rattlers,Vegas Knight Hawks,1.0,,,,,,,,,,,,6.2,12.0,,0.0,37.0,6.0,0.8,5.0,,4.0,,0.0,3.0,,,0.0,1.0,,
FOOTBALL_NAL_2026_4_25_T577047G1127160@T570666,2026-04-26,2026,8,NAL,Pueblo Punishers,Sioux City Bandits,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,16.0,0.0,0.0,19.0,2.0,4.0,12.0,,10.0,0.0,2.0,41.0,0.0,0.0,,0.0,,
FOOTBALL_IFL_2026_5_10_TTUCSONSUGARSKULLSG20260510QDQW@TARIZONARATTLERS,2026-05-10,2026,9,IFL,Tucson Sugar Skulls,Arizona Rattlers,,,,,,,,,,,,,,,,,,,4.8,8.0,,4.0,,1.0,19.0,,,,,,
FOOTBALL_NAL_2026_5_2_T577047G1127165@T570667,2026-05-03,2026,9,NAL,Pueblo Punishers,Colorado Spartans,,,,,,,,,,,,,16.0,17.0,0.0,0.0,32.0,2.0,5.0,12.0,,15.0,0.0,2.0,70.0,,,,,,
FOOTBALL_IFL_2026_5_18_TARIZONARATTLERSG20260518E0UH@TNEWMEXICOCHUPACABRAS,2026-05-18,2026,10,IFL,Arizona Rattlers,New Mexico Chupacabras,,,,,,,,,,,,,8.8,17.0,,1.0,44.0,5.0,3.3,8.0,,6.0,,1.0,20.0,,,,,,
FOOTBALL_NAL_2026_5_10_T577047G1127169@T570667,2026-05-10,2026,10,NAL,Pueblo Punishers,Colorado Spartans,,,,,,,,,,,,,9.0,21.0,0.0,1.0,52.0,6.0,4.0,9.0,,9.0,0.0,2.0,35.0,,,,,,
FOOTBALL_IFL_2026_5_30_TNAZWRANGLERSG20260530ZDI0@TARIZONARATTLERS,2026-05-30,2026,12,IFL,NAZ Wranglers,Arizona Rattlers,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,1.0,5.2,14.0,,5.0,,2.0,26.0,,,,,,
FOOTBALL_IFL_2026_6_14_TFISHERSFREIGHTG20260614HYJQ@TARIZONARATTLERS,2026-06-14,2026,14,IFL,Fishers Freight,Arizona Rattlers,,,,,,,,,,,,,6.7,8.0,,1.0,20.0,3.0,0.8,3.0,,5.0,,0.0,4.0,,,,,,
FOOTBALL_IFL_2026_6_27_TNEWMEXICOCHUPACABRASG20260627NH6Q@TARIZONARATTLERS,2026-06-27,2026,16,IFL,New Mexico Chupacabras,Arizona Rattlers,,,,,,,,,,,,,11.0,19.0,,1.0,22.0,2.0,7.1,18.0,,7.0,,1.0,50.0,,,,,,
FOOTBALL_IFL_2026_7_11_TTUCSONSUGARSKULLSG20260711B8WE@TARIZONARATTLERS,2026-07-11,2026,16,IFL,Tucson Sugar Skulls,Arizona Rattlers,,,,,,,,,,,,,4.5,6.0,,0.0,9.0,2.0,3.0,11.0,,7.0,,0.0,21.0,,,,,,
FOOTBALL_IFL_2026_7_6_TARIZONARATTLERSG20260706J8KX@TSANDIEGOSTRIKEFORCE,2026-07-06,2026,17,IFL,Arizona Rattlers,San Diego Strike Force,,,,,,,,,,,,,,,,,,,-1.5,1.0,,2.0,,1.0,-3.0,,,,,,
