game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points
NLL_2019_SEASON_TOTAL,,,1,,,,6.0,11.0,,2.0,6.0
NLL_2021_SEASON_TOTAL,,,1,,,,7.0,18.0,6.0,10.0,13.0
NLL_2022_SEASON_TOTAL,,,1,,,,13.0,16.0,4.0,16.0,17.0
NLL_2023_SEASON_TOTAL,,,1,,,,7.0,17.0,9.0,16.0,16.0
