game_id,date,season,week,league,away,home,1pt_conversion,assist_tackles,conversions,int_avg,int_long,int_tds,int_yards,interceptions_made,lost_fumbles,pass_defended,sacks,solo_tackles,tackles
FOOTBALL_AAF_2019_2_10_MEM@BIR,2019-02-10,2019,1,AAF,MEM,BIR,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,2.0,
FOOTBALL_AAF_2019_2_16_ARI@MEM,2019-02-16,2019,2,AAF,ARI,MEM,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,1.0,
FOOTBALL_AAF_2019_3_2_SD@MEM,2019-03-02,2019,4,AAF,SD,MEM,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,1.0,
FOOTBALL_AAF_2019_3_10_MEM@ATL,2019-03-10,2019,5,AAF,MEM,ATL,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,2.0,
FOOTBALL_AAF_2019_3_16_MEM@SL,2019-03-16,2019,6,AAF,MEM,SL,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,4.0,
FOOTBALL_AAF_2019_3_24_BIR@MEM,2019-03-24,2019,7,AAF,BIR,MEM,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,2.0,
FOOTBALL_AAF_2019_3_30_ORL@MEM,2019-03-30,2019,8,AAF,ORL,MEM,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,4.0,
SYNTHETIC_USFL_2022_W2_PIT,,2022,2,USFL,,,,,,,,,,,0.0,,,,
FOOTBALL_XFL_2023_2_19_STL@SA,2023-02-19,2023,1,XFL,STL,SA,,,,,,,,,,,,,1.0
FOOTBALL_XFL_2023_2_26_SA@ORL,2023-02-26,2023,2,XFL,GUARDIANS,BRAHMAS,,,,,,,,,,,,,2.0
FOOTBALL_XFL_2023_3_5_SA@HOU,2023-03-05,2023,3,XFL,ROUGHNECKS,BRAHMAS,,,,,,,,,,,,,1.0
FOOTBALL_XFL_2023_3_11_SA@SEA,2023-03-11,2023,4,XFL,SEA DRAGONS,BRAHMAS,,,,,,,,,,,,,7.0
FOOTBALL_XFL_2023_3_19_ARL@SA,2023-03-19,2023,5,XFL,ARL,SA,,,,,,,,,,1.0,,,1.0
SYNTHETIC_XFL_2023_W5_BRAHMAS,2023-03-19,2023,5,XFL,BRAHMAS,RENEGADES,0.0,,0.0,,,,,,,,,,
FOOTBALL_XFL_2023_3_26_SA@ARL,2023-03-26,2023,6,XFL,SA,ARL,,,,,,,,,,1.0,,,
FOOTBALL_XFL_2023_4_1_SA@VGS,2023-04-01,2023,7,XFL,SA,VGS,,,,,,,,,1.0,1.0,,,1.0
FOOTBALL_XFL_2023_4_9_HOU@SA,2023-04-09,2023,8,XFL,HOU,SA,,,,,,,,,,,,,1.0
10798142,2024-05-20,2024,1,CFL,WPG,SSK,,,,,,,,0.0,,,0.0,,3.0
