game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,17.0,33.0,4.0,361.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,14.0,32.0,1.0,386.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,14.0,36.0,1.0,471.0
