game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,fielding_runouts,match_played
cricket-t20i-2022-05-10-1310171,2022-05-10,2022,1,T20I,Malta,Hungary,2.0,0.0,0.0,7.0,1.0,0.0,,1.0
cricket-t20i-2022-05-10-1310172,2022-05-10,2022,1,T20I,Gibraltar,Hungary,3.0,1.0,0.0,7.0,6.0,0.0,,1.0
cricket-t20i-2022-05-11-1310175,2022-05-11,2022,1,T20I,Hungary,Bulgaria,17.0,2.0,0.0,7.0,21.0,1.0,,1.0
cricket-t20i-2022-05-12-1310178,2022-05-12,2022,1,T20I,Romania,Hungary,,,,,,,1.0,1.0
cricket-t20i-2022-05-14-1310182,2022-05-14,2022,1,T20I,Hungary,Czech Republic,10.0,1.0,0.0,7.0,14.0,1.0,,1.0
cricket-t20i-2022-05-15-1310186,2022-05-15,2022,1,T20I,Czech Republic,Hungary,3.0,0.0,0.0,7.0,4.0,0.0,,1.0
cricket-t20i-2022-07-01-1320978,2022-07-01,2022,1,T20I,Hungary,Gibraltar,14.0,1.0,0.0,8.0,21.0,2.0,1.0,1.0
cricket-t20i-2022-07-03-1320985,2022-07-03,2022,1,T20I,Israel,Hungary,14.0,1.0,0.0,6.0,23.0,2.0,,1.0
cricket-t20i-2023-06-11-1380586,2023-06-11,2023,1,T20I,Czech Republic,Hungary,6.0,1.0,0.0,8.0,7.0,0.0,,1.0
cricket-t20i-2023-06-11-1380587,2023-06-11,2023,1,T20I,Hungary,Czech Republic,17.0,1.0,0.0,6.0,13.0,0.0,,1.0
cricket-t20i-2024-06-12-1436482,2024-06-12,2024,1,T20I,Israel,Hungary,11.0,0.0,0.0,7.0,26.0,4.0,,1.0
cricket-t20i-2024-06-13-1436483,2024-06-13,2024,1,T20I,Hungary,Romania,27.0,2.0,0.0,7.0,32.0,0.0,,1.0
cricket-t20i-2024-06-15-1436488,2024-06-15,2024,1,T20I,Austria,Hungary,6.0,0.0,0.0,5.0,7.0,1.0,,1.0
cricket-t20i-2025-06-21-1486786,2025-06-21,2025,1,T20I,Hungary,Slovenia,10.0,0.0,0.0,7.0,5.0,0.0,,1.0
cricket-t20i-2025-06-27-1490885,2025-06-27,2025,1,T20I,Hungary,Austria,9.0,0.0,1.0,7.0,11.0,0.0,,1.0
cricket-t20i-2025-06-29-1490890,2025-06-29,2025,1,T20I,Hungary,France,5.0,0.0,0.0,6.0,1.0,0.0,,1.0
cricket-t20i-2025-08-17-1498191,2025-08-17,2025,1,T20I,Sweden,Hungary,2.0,0.0,0.0,5.0,0.0,0.0,,1.0
cricket-t20i-2025-08-17-1498192,2025-08-17,2025,1,T20I,Norway,Hungary,12.0,0.0,0.0,5.0,8.0,1.0,,1.0
