game_id,date,season,week,league,away,home,gp,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,11.0,7.0,1.0,89.0,39.0,4.0,234.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,12.0,5.0,1.0,53.0,44.0,3.0,261.0
