game_id,date,season,week,league,away,home,1pt_conversion,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_18_ORL@HOU,2023-02-18,2023,1,XFL,ORL,HOU,,,,,,,1.0,71.0,5.0,,
FOOTBALL_XFL_2023_2_26_ARL@HOU,2023-02-26,2023,2,XFL,ROUGHNECKS,RENEGADES,,,,,,,,56.0,2.0,,
SYNTHETIC_XFL_2023_W2_ROUGHNECKS,2023-02-26,2023,2,XFL,ROUGHNECKS,RENEGADES,0.0,1.0,,,,,,,,,
FOOTBALL_XFL_2023_3_5_SA@HOU,2023-03-05,2023,3,XFL,ROUGHNECKS,BRAHMAS,,,,,,,2.0,77.0,6.0,,
SYNTHETIC_XFL_2023_W3_ROUGHNECKS,2023-03-05,2023,3,XFL,ROUGHNECKS,BRAHMAS,0.0,1.0,,,,,,,,,
FOOTBALL_XFL_2023_3_11_HOU@ORL,2023-03-11,2023,4,XFL,GUARDIANS,ROUGHNECKS,,,,,1.0,49.0,1.0,49.0,2.0,,
SYNTHETIC_XFL_2023_W4_ROUGHNECKS,2023-03-11,2023,4,XFL,GUARDIANS,ROUGHNECKS,0.0,1.0,,,,,,,,,
SYNTHETIC_UFL_2024_W1_BRAHMAS,2024-03-31,2024,1,UFL,BRAHMAS,DEFENDERS,,,,1.0,,,1.0,61.0,8.0,,
SYNTHETIC_UFL_2024_W2_BRAHMAS,2024-04-06,2024,2,UFL,SHOWBOATS,BRAHMAS,,,,,,,1.0,53.0,7.0,,
SYNTHETIC_UFL_2024_W3_BRAHMAS,2024-04-14,2024,3,UFL,BRAHMAS,BATTLEHAWKS,,,,,,15.0,0.0,52.0,8.0,,
SYNTHETIC_UFL_2024_W4_BRAHMAS,2024-04-20,2024,4,UFL,BRAHMAS,PANTHERS,,,,,,,0.0,105.0,5.0,,
SYNTHETIC_UFL_2024_W5_BRAHMAS,2024-04-27,2024,5,UFL,RENEGADES,BRAHMAS,,,,,,,0.0,43.0,6.0,,
SYNTHETIC_UFL_2024_W6_BRAHMAS,2024-05-05,2024,6,UFL,DEFENDERS,BRAHMAS,,,,,,,0.0,19.0,3.0,,
SYNTHETIC_UFL_2024_W7_BRAHMAS,2024-05-12,2024,7,UFL,ROUGHNECKS,BRAHMAS,,,,,,,0.0,40.0,3.0,0.0,0.0
