game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,9.0,3.0,42.0,10.0,,114.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,12.0,,,2.0,1.0,27.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,10.0,,,,,
