game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sh_goals,sog,to
NLL_2019_SEASON_TOTAL,,,1,,,,27.0,,,12.0,12.0,,4.0,,39.0,,,,,
NLL_2021_SEASON_TOTAL,,,1,,,,38.0,,,17.0,19.0,,,,57.0,,,,,
NLL_2022_SEASON_TOTAL,,,1,,,,37.0,,,18.0,21.0,,2.0,,58.0,5.0,1.0,1.0,,
NLL_2023_SEASON_TOTAL,,,1,,,,24.0,,,18.0,23.0,,2.0,,47.0,5.0,5.0,,,
703331825,2025-10-29,2025,1,NLL,GEORGIA,BUFFALO,2.0,2.0,2.0,,1.0,2.0,,2.0,,,,,2.0,2.0
