game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,14.0,9.0,,131.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,15.0,10.0,1.0,102.0
