game_id,date,season,week,league,away,home,interceptions_lost,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_pts,score_r,score_tot
FOOTBALL_CFL_2022_10_14_HAM@CGY,2022-10-14,2022,1,CFL,HAM,CGY,,,,,,,,,,,,,,8.0,3.0,1.0,18.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2022_10_1_TOR@CGY,2022-10-01,2022,1,CFL,TOR,CGY,,,,,,,,,,,,,,1.0,,1.0,1.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2022_10_22_CGY@SSK,2022-10-22,2022,1,CFL,CGY,SSK,,,,,,,,,,,,,,7.0,12.0,,22.0,,,,,
FOOTBALL_CFL_2022_10_29_SSK@CGY,2022-10-29,2022,1,CFL,SSK,CGY,,5.0,4.0,14.0,8.0,1.0,1.0,32.0,,,,,,4.0,,1.0,163.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2022_11_6_CGY@BC,2022-11-06,2022,1,CFL,CGY,BC,,1.0,,,,,,,,,,,,3.0,3.0,1.0,6.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2022_6_18_CGY@HAM,2022-06-18,2022,1,CFL,CGY,HAM,,,,,,,,,,,,,,2.0,3.0,,4.0,,,,,
FOOTBALL_CFL_2022_6_25_EDM@CGY,2022-06-25,2022,1,CFL,EDM,CGY,,,,,,,,,,,,,,6.0,5.0,1.0,15.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2022_7_15_CGY@WPG,2022-07-15,2022,1,CFL,CGY,WPG,,1.0,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_7_30_WPG@CGY,2022-07-30,2022,1,CFL,WPG,CGY,,,,,,,,,,,,,,5.0,5.0,,14.0,,,,,
FOOTBALL_CFL_2022_7_7_CGY@EDM,2022-07-07,2022,1,CFL,CGY,EDM,,,,,,,,,,,,,,4.0,3.0,1.0,10.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2022_8_13_BC@CGY,2022-08-13,2022,1,CFL,BC,CGY,,1.0,1.0,-3.0,,,,-3.0,,,,,,2.0,4.0,,6.0,,,,,
