game_id,date,season,week,league,away,home,attempts,avg,award_mvp,long,td,yards
FOOTBALL_XLEAGUE_2013_SEASON_TOTAL,,2013,1,XLEAGUE,,,10.0,17.3,1.0,47.0,1.0,173.0
FOOTBALL_XLEAGUE_2015_SEASON_TOTAL,,2015,1,XLEAGUE,,,26.0,11.7,,31.0,2.0,303.0
FOOTBALL_XLEAGUE_2018_SEASON_TOTAL,,2018,1,XLEAGUE,,,23.0,13.6,,45.0,2.0,312.0
FOOTBALL_XLEAGUE_2020_SEASON_TOTAL,,2020,1,XLEAGUE,,,10.0,12.7,,35.0,,127.0
FOOTBALL_XLEAGUE_2021_SEASON_TOTAL,,2021,1,XLEAGUE,,,14.0,14.29,,58.0,2.0,200.0
FOOTBALL_XLEAGUE_2023_SEASON_TOTAL,,2023,1,XLEAGUE,,,16.0,9.25,,25.0,,148.0
