game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_minus_xg,goals_plus_assists,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-mls-2020-jYQJ8EW5GR,,2020,1,MLS,,,0.0,0.0,22.1098,8.3009,0.0,-0.026,0.0,0.0,784.0,0.8568,412.0,11.6486,2.8273,0.0,1.0,0.0,0.0,0.026,-0.026,0.026,0.8285,0.0214
soccer-mls-2021-jYQJ8EW5GR,,2021,1,MLS,,,0.0,-0.0167,22.2263,7.8489,0.0,-0.3211,0.0,1.0,1761.0,0.848,763.0,3.456,0.4529,0.0,8.0,4.0,0.0167,0.3211,0.0833,0.3378,0.8434,0.2321
soccer-mls-2022-jYQJ8EW5GR,,2022,1,MLS,,,0.0,-0.2192,22.2408,7.9778,1.0,0.1921,1.0,4.0,2527.0,0.8739,1205.0,18.9712,1.5744,0.561,10.0,1.0,0.2192,0.8079,0.0377,1.0272,0.8581,0.4962
soccer-mlsnp-2022-kRQaW3L5KZ,,2022,1,MLSNP,,,0.0,-0.0338,29.0263,15.2324,0.0,0.0,0.0,1.0,99.0,0.881,84.0,4.6278,5.5093,0.0,0.0,0.0,0.0338,0.0,0.0,0.0338,0.8259,0.0
soccer-mls-2023-jYQJ8EW5GR,,2023,1,MLS,,,0.0,-0.2546,21.3161,7.1616,0.0,-0.2801,0.0,4.0,2509.0,0.8401,1082.0,-4.3984,-0.4065,0.0,8.0,3.0,0.2546,0.2801,0.2629,0.5347,0.8442,0.1227
soccer-mlsnp-2023-kRQaW3L5KZ,,2023,1,MLSNP,,,0.0,0.0,21.8751,8.6849,1.0,0.6389,1.0,0.0,105.0,0.8906,64.0,2.9839,4.6624,0.5,4.0,1.0,0.0,0.3611,0.287,0.3611,0.844,0.2214
soccer-mls-2024-jYQJ8EW5GR,,2024,1,MLS,,,0.0,-0.3327,22.0127,7.9493,1.0,-0.0545,1.0,5.0,3107.0,0.8943,1561.0,46.0001,2.9468,0.0987,17.0,5.0,0.3327,1.0545,0.1307,1.3872,0.8648,0.6785
soccer-mls-2025-jYQJ8EW5GR,,2025,1,MLS,,,0.0,-0.014,19.8251,7.6741,0.0,-0.4762,0.0,1.0,3085.0,0.9129,1630.0,50.5877,3.1035,0.0,14.0,4.0,0.014,0.4762,0.4778,0.4902,0.8818,0.3489
