game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,10.0,357.0,192.0,11.0,21.0,2514.0,,,,,,78.0,3.0,248.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,12.0,434.0,255.0,10.0,36.0,3325.0,,,1.0,1.0,31.0,98.0,4.0,549.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,12.0,435.0,258.0,12.0,30.0,3096.0,2.0,63.0,,,,124.0,7.0,569.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,3.0,12.0,340.0,207.0,7.0,34.0,3057.0,,,,,,120.0,8.0,792.0
