game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_goals,sh_goals,sog,to
NLL_2019_SEASON_TOTAL,,,1,,,,4.0,,,10.0,5.0,,26.0,,9.0,,,,
NLL_2021_SEASON_TOTAL,,,1,,,,13.0,,,18.0,4.0,,15.0,,17.0,,,,
NLL_2022_SEASON_TOTAL,,,1,,,,8.0,,,18.0,8.0,,23.0,,16.0,1.0,2.0,,
NLL_2023_SEASON_TOTAL,,,1,,,,12.0,,,17.0,6.0,,15.0,,18.0,,2.0,,
703329312,2025-10-28,2025,1,NLL,TORONTO,OSHAWA,1.0,1.0,1.0,,0.0,1.0,,1.0,,,,1.0,1.0
703344673,2025-12-05,2025,1,NLL,OSHAWA,HALIFAX,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0
