game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds,rush_att,rush_gp,rush_td,rush_yds
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,11.0,22.0,,177.0,67.0,11.0,,302.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,14.0,29.0,1.0,353.0,85.0,14.0,1.0,486.0
