game_id,date,season,week,league,away,home,assisted_tackles,forced_fumbles,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_IFL_2026_8_2_T4TUCSONSUGARSKULLSG202608026JDA@T1SANDIEGOSTRIKEFORCE,2026-08-02,2026,,IFL,#4 Tucson Sugar Skulls,#1 San Diego Strike Force,0.0,1.0,0.0,0.0,,
FOOTBALL_IFL_2026_7_24_TTUCSONSUGARSKULLSG20260724I0UY@TSANDIEGOSTRIKEFORCE,2026-07-24,2026,20,IFL,Tucson Sugar Skulls,San Diego Strike Force,0.0,,3.0,3.0,1.0,0.0
