game_id,date,season,week,league,away,home,attempts,avg,long,td,yards
FOOTBALL_XLEAGUE_2022_SEASON_TOTAL,,2022,1,XLEAGUE,,,28.0,11.61,42.0,2.0,325.0
FOOTBALL_XLEAGUE_2024_SEASON_TOTAL,,2024,1,XLEAGUE,,,33.0,11.64,33.0,2.0,384.0
