game_id,date,season,week,league,away,home,completion_pct,interceptions,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_yards,passing_yds_lost
FOOTBALL_AF1_2026_4_19_T612138G1168205@T584747,2026-04-19,2026,2,AF1,Oceanside Stealth,Kentucky Barrels,500.0,0.0,4.0,2.0,28.0,15.0,0.0,75.0,0.0,0.0,30.0,0.0
FOOTBALL_AF1_2026_6_20_T612138G1168399@T584761,2026-06-20,2026,11,AF1,Oceanside Stealth,Beaumont Renegades,472.0,0.0,36.0,17.0,40.0,7.0,0.0,74.0,0.0,2.0,118.0,0.0
