game_id,date,season,week,league,away,home,attempts,avg,award_mvp,long,td,yards
FOOTBALL_XLEAGUE_2010_SEASON_TOTAL,,2010,1,XLEAGUE,,,50.0,4.7,,22.0,4.0,236.0
FOOTBALL_XLEAGUE_2011_SEASON_TOTAL,,2011,1,XLEAGUE,,,22.0,4.0,,16.0,,88.0
FOOTBALL_XLEAGUE_2012_SEASON_TOTAL,,2012,1,XLEAGUE,,,70.0,6.4,1.0,37.0,9.0,450.0
FOOTBALL_XLEAGUE_2013_SEASON_TOTAL,,2013,1,XLEAGUE,,,68.0,6.3,,28.0,6.0,428.0
FOOTBALL_XLEAGUE_2015_SEASON_TOTAL,,2015,1,XLEAGUE,,,65.0,5.7,,45.0,3.0,370.0
