game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_minus_xg,goals_plus_assists,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-mls-2018-pzeQZ6xQKw,,2018,1,MLS,,,2.0,-0.711,23.9195,6.4281,1.0,-1.2331,3.0,42.0,3028.0,0.8316,2090.0,32.4611,1.5532,0.5669,21.0,8.0,2.711,2.2331,0.3633,4.9442,0.816,1.7815
soccer-mls-2019-pzeQZ6xQKw,,2019,1,MLS,,,10.0,4.0609,22.9404,6.085,1.0,0.8218,11.0,77.0,2444.0,0.8088,1381.0,38.8689,2.8145,0.5442,4.0,2.0,5.9391,0.1782,0.0945,6.1173,0.7807,0.0924
soccer-mls-2020-pzeQZ6xQKw,,2020,1,MLS,,,4.0,2.0782,21.9487,5.0423,0.0,-0.1664,4.0,29.0,1533.0,0.8375,1194.0,24.2462,2.0307,0.0,6.0,2.0,1.9218,0.1664,-0.1321,2.0882,0.8172,0.1008
soccer-mls-2021-pzeQZ6xQKw,,2021,1,MLS,,,12.0,6.6766,23.5,5.226,0.0,-0.3437,12.0,71.0,2862.0,0.8416,1894.0,65.3031,3.4479,0.0,13.0,4.0,5.3234,0.3437,0.1467,5.6671,0.8071,0.276
soccer-mls-2022-pzeQZ6xQKw,,2022,1,MLS,,,1.0,-0.7846,22.6406,3.3624,0.0,-0.0459,1.0,30.0,1211.0,0.8377,807.0,18.0675,2.2388,0.0,1.0,0.0,1.7846,0.0459,-0.0459,1.8305,0.8153,0.0005
soccer-mlsnp-2022-7VqG1oWMvW,,2022,1,MLSNP,,,0.0,0.0,33.2312,3.8368,0.0,-0.0278,0.0,0.0,47.0,0.5333,15.0,-1.0455,-6.9697,0.0,1.0,0.0,0.0,0.0278,-0.0278,0.0278,0.603,0.0215
soccer-mls-2023-pzeQZ6xQKw,,2023,1,MLS,,,0.0,-0.0719,21.9352,3.6848,0.0,0.0,0.0,1.0,42.0,0.7742,31.0,0.5941,1.9165,0.0,0.0,0.0,0.0719,0.0,0.0,0.0719,0.755,0.0
