game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds,rush_att,rush_gp,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,17.0,69.0,7.0,1014.0,2.0,17.0,12.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,6.0,16.0,,157.0,,,
