game_id,date,season,week,league,away,home,1pt_conversion,3pt_pass,completions,conversions,interceptions_lost,lost_fumbles,pass_attempts,passing_tds,passing_yards,rush_attempts,rushing_tds,rushing_yards
FOOTBALL_XFL_2020_2_8_LA@HOU,2020-02-08,2020,1,XFL,LA,HOU,,,1.0,,1.0,,4.0,,,1.0,,1.0
FOOTBALL_XFL_2020_2_23_DC@LA,2020-02-23,2020,3,XFL,DC,LA,,,,,,,,,,1.0,,3.0
FOOTBALL_XFL_2023_4_1_SA@VGS,2023-04-01,2023,7,XFL,SA,VGS,,,,,,,,2.0,264.0,,,25.0
SYNTHETIC_XFL_2023_W7_VIPERS,2023-04-01,2023,7,XFL,VIPERS,BRAHMAS,1.0,,,2.0,,,,,,,,
FOOTBALL_XFL_2023_4_8_VGS@STL,2023-04-08,2023,8,XFL,VGS,STL,,,,,,1.0,,1.0,159.0,,,62.0
SYNTHETIC_XFL_2023_W8_VIPERS,2023-04-08,2023,8,XFL,BATTLEHAWKS,VIPERS,0.0,,,1.0,,,,,,,,
FOOTBALL_XFL_2023_4_15_VGS@HOU,2023-04-15,2023,9,XFL,VGS,HOU,,,,,,1.0,,2.0,249.0,,,41.0
SYNTHETIC_XFL_2023_W9_VIPERS,2023-04-15,2023,9,XFL,ROUGHNECKS,VIPERS,0.0,,,0.0,,,,,,,,
FOOTBALL_XFL_2023_4_23_VGS@SEA,2023-04-23,2023,10,XFL,VGS,SEA,,,,,1.0,,,,201.0,,,9.0
SYNTHETIC_XFL_2023_W10_VIPERS,2023-04-23,2023,10,XFL,SEA DRAGONS,VIPERS,0.0,,,0.0,,,,,,,,
27,2024-05-12,2024,7,UFL,DEFENDERS,PANTHERS,,,,,0.0,,,0.0,73.0,,0.0,13.0
31,2024-05-19,2024,8,UFL,BATTLEHAWKS,DEFENDERS,,,,,0.0,,,0.0,16.0,,,
35,2024-05-26,2024,9,UFL,SHOWBOATS,DEFENDERS,,,,,0.0,,,0.0,40.0,,1.0,14.0
80,2025-04-19,2025,4,UFL,ROUGHNECKS,STALLIONS,,,,,1.0,,,0.0,236.0,,1.0,17.0
61,2025-04-27,2025,5,UFL,BRAHMAS,ROUGHNECKS,,1.0,,,1.0,,,0.0,171.0,,0.0,17.0
81,2025-05-03,2025,6,UFL,ROUGHNECKS,SHOWBOATS,,,,1.0,0.0,,,1.0,149.0,,0.0,4.0
67,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,1.0,,,,0.0,,,1.0,167.0,,0.0,8.0
82,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,,,,,1.0,1.0,,2.0,316.0,,0.0,24.0
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,1.0,,,,0.0,1.0,,2.0,232.0,,0.0,23.0
76,2025-05-31,2025,10,UFL,PANTHERS,ROUGHNECKS,1.0,,,,0.0,,,0.0,193.0,,0.0,1.0
90,2026-03-29,2026,1,UFL,COLUMBUS AVIATORS,ORLANDO STORM,,,,,0.0,,,0.0,212.0,,0.0,30.0
91,2026-04-03,2026,2,UFL,DC DEFENDERS,COLUMBUS AVIATORS,,,,,1.0,1.0,,2.0,156.0,,1.0,55.0
97,2026-04-12,2026,3,UFL,COLUMBUS AVIATORS,DALLAS RENEGADES,,,,,2.0,,,2.0,230.0,,0.0,24.0
100,2026-04-17,2026,4,UFL,DALLAS RENEGADES,COLUMBUS AVIATORS,,,,,0.0,,,1.0,126.0,,0.0,42.0
105,2026-04-26,2026,5,UFL,COLUMBUS AVIATORS,HOUSTON GAMBLERS,,,,,0.0,1.0,,0.0,160.0,,1.0,25.0
108,2026-05-01,2026,6,UFL,HOUSTON GAMBLERS,COLUMBUS AVIATORS,,,,,0.0,,,1.0,187.0,,0.0,17.0
111,2026-05-08,2026,7,UFL,COLUMBUS AVIATORS,ST. LOUIS BATTLEHAWKS,,,,,1.0,,,2.0,153.0,,0.0,28.0
118,2026-05-17,2026,8,UFL,COLUMBUS AVIATORS,BIRMINGHAM STALLIONS,,,,,2.0,,,0.0,150.0,,0.0,18.0
