game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,gp,match_played,recv_rec,recv_td,recv_yds
cricket-t20i-2023-02-26-1354803,2023-02-26,2023,1,T20I,Isle of Man,Spain,7.0,0.0,0.0,2.0,2.0,0.0,,,,,,,,,1.0,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,,,,,,,,,,,,4.0,,7.0,1.0,65.0
cricket-t20i-2024-06-09-1436473,2024-06-09,2024,1,T20I,France,Isle of Man,4.0,0.0,1.0,8.0,2.0,0.0,6.0,0.0,0.0,4.0,1.0,0.0,,,1.0,,,
cricket-t20i-2024-06-10-1436476,2024-06-10,2024,1,T20I,Isle of Man,Turkey,11.0,1.0,1.0,6.0,17.0,1.0,,,,,,,1.0,,1.0,,,
cricket-t20i-2024-06-15-1436487,2024-06-15,2024,1,T20I,Isle of Man,Luxembourg,18.0,2.0,1.0,7.0,17.0,0.0,,,,,,,,,1.0,,,
cricket-t20i-2024-06-16-1436493,2024-06-16,2024,1,T20I,Portugal,Isle of Man,5.0,1.0,0.0,8.0,8.0,0.0,,,,,,,,,1.0,,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,,,,,,,,,,,,6.0,,3.0,,34.0
