game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-DC-CAR,2023-04-29,2023,1,,DC,CAR,,,29.0,35.0,,1.0,,1.0,37.0,2.0,-1.0,227.0
2023-05-07-PHI-DC,2023-05-07,2023,2,,PHI,DC,,,18.0,22.0,,2.0,1.0,,23.0,,49.0,149.0
2023-05-13-NY-DC,2023-05-13,2023,3,,NY,DC,2.0,,52.0,56.0,,,,,56.0,,-32.0,296.0
2023-05-20-DC-TOR,2023-05-20,2023,4,,DC,TOR,,,28.0,34.0,1.0,6.0,,,35.0,1.0,65.0,222.0
2023-06-02-CAR-DC,2023-06-02,2023,6,,CAR,DC,1.0,,43.0,50.0,1.0,3.0,,,52.0,2.0,100.0,373.0
2023-06-16-MTL-DC,2023-06-16,2023,8,,MTL,DC,1.0,,21.0,26.0,,2.0,,,26.0,,80.0,134.0
2023-06-23-DC-MTL,2023-06-23,2023,9,,DC,MTL,,,47.0,58.0,,1.0,,,58.0,,72.0,302.0
2023-06-24-DC-BOS,2023-06-24,2023,9,,DC,BOS,4.0,,,,,,,,,,,
2023-06-30-DC-NY,2023-06-30,2023,10,,DC,NY,1.0,,38.0,45.0,1.0,1.0,,,46.0,1.0,116.0,355.0
2023-07-08-BOS-DC,2023-07-08,2023,11,,BOS,DC,4.0,,48.0,55.0,2.0,2.0,,,56.0,1.0,123.0,416.0
2023-07-15-DC-PHI,2023-07-15,2023,12,,DC,PHI,3.0,,32.0,36.0,,1.0,,,38.0,2.0,113.0,216.0
2023-07-21-TOR-DC,2023-07-21,2023,13,,TOR,DC,4.0,1.0,29.0,40.0,,3.0,1.0,,40.0,,121.0,392.0
