game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumbles,fumbles_lost,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles
FOOTBALL_NAL_2025_3_8_T425360G979249@T450150,2025-03-09,2025,1,NAL,Omaha Beef,Shreveport Rouxgaroux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,8.0,9.0,0.0,16.0,,,,,,,,,,,,,0.0,0.0,,2.0
FOOTBALL_IFL_2026_3_14_TQUADCITYSTEAMWHEELERSG20260314RYY1@TFISHERSFREIGHT,2026-03-14,2026,1,IFL,Quad City Steamwheelers,Fishers Freight,,,,,,,,,,,,,,,9.8,16.0,,2.0,39.0,4.0,,,,,,,,,,
FOOTBALL_NAL_2026_3_7_T570667G1127138@T577047,2026-03-08,2026,1,NAL,Colorado Spartans,Pueblo Punishers,,,,,,,,,,1.0,25.0,0.0,0.0,25.0,12.0,13.0,0.0,0.0,23.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,,,,
FOOTBALL_IFL_2026_3_21_TFISHERSFREIGHTG20260321YQ5B@TGREENBAYBLIZZARD,2026-03-21,2026,2,IFL,Fishers Freight,Green Bay Blizzard,0.0,,,,,,,,,,,,,,11.0,17.0,,1.0,55.0,5.0,6.0,6.0,1.0,,0.0,6.0,,,1.0,1.0
FOOTBALL_NAL_2026_3_14_T577047G1127139@T566774,2026-03-14,2026,2,NAL,Pueblo Punishers,Omaha Beef,,,,,,,,,,2.0,25.0,26.0,0.0,50.0,6.0,6.0,0.0,0.0,6.0,1.0,,,,,,,,,,
FOOTBALL_IFL_2026_4_11_TIOWABARNSTORMERSG20260411Y06T@TFISHERSFREIGHT,2026-04-11,2026,5,IFL,Iowa Barnstormers,Fishers Freight,,,,,,,,,,,,,,,7.5,13.0,,0.0,15.0,2.0,,,,,,,,,,
FOOTBALL_NAL_2026_4_4_T577047G1127185@T600411,2026-04-04,2026,5,NAL,Pueblo Punishers,Salina Liberty,,,,,,,,,,1.0,28.0,28.0,0.0,28.0,5.0,5.0,0.0,0.0,5.0,1.0,,,,,,,,,,
FOOTBALL_IFL_2026_4_18_TFISHERSFREIGHTG202604185HGP@TTULSAOILERS,2026-04-18,2026,6,IFL,Fishers Freight,Tulsa Oilers,,,,,,,,,,,,,,,22.5,40.0,,0.0,45.0,2.0,,,,,,,,,,
FOOTBALL_NAL_2026_4_11_T573852G1127153@T577047,2026-04-12,2026,6,NAL,Louisiana Rouxgaroux,Pueblo Punishers,,,,,,,,,,5.0,46.0,52.0,4.0,230.0,,,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_4_25_TFISHERSFREIGHTG202604259U64@TIOWABARNSTORMERS,2026-04-25,2026,7,IFL,Fishers Freight,Iowa Barnstormers,,,,,,,,,,,,,,,9.7,21.0,,0.0,29.0,3.0,,,,,,,,,,
FOOTBALL_IFL_2026_5_2_TGREENBAYBLIZZARDG20260502XIPT@TFISHERSFREIGHT,2026-05-02,2026,8,IFL,Green Bay Blizzard,Fishers Freight,,,,,,,,,,,,,,,8.0,18.0,,1.0,32.0,4.0,,,,,,,,,,
FOOTBALL_NAL_2026_4_25_T577047G1127160@T570666,2026-04-26,2026,8,NAL,Pueblo Punishers,Sioux City Bandits,,,,,,,,,,3.0,14.0,16.0,0.0,43.0,22.0,24.0,0.0,0.0,44.0,2.0,,,,,,,,,,
FOOTBALL_IFL_2026_5_9_TFISHERSFREIGHTG202605096WJ9@TORLANDOPIRATES,2026-05-09,2026,9,IFL,Fishers Freight,Orlando Pirates,,,,,,,,1.0,0.0,,,,,,9.6,12.0,,0.0,48.0,5.0,,,,,,,,,,
FOOTBALL_NAL_2026_5_2_T577047G1127165@T570667,2026-05-03,2026,9,NAL,Pueblo Punishers,Colorado Spartans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,26.0,28.0,0.0,52.0,,,,,,,,,,,,,0.0,0.0,,1.0
FOOTBALL_IFL_2026_5_16_TJACKSONVILLESHARKSG20260516ZV31@TFISHERSFREIGHT,2026-05-16,2026,10,IFL,Jacksonville Sharks,Fishers Freight,,,,,,,,,,,,,,,5.3,9.0,,2.0,16.0,3.0,,,,,,,,,,
FOOTBALL_NAL_2026_5_10_T577047G1127169@T570667,2026-05-10,2026,10,NAL,Pueblo Punishers,Colorado Spartans,,,,,,,,,,3.0,27.0,31.0,0.0,81.0,9.0,16.0,0.0,0.0,28.0,3.0,,,,,,,,,,
