game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_minus_xg,goals_plus_assists,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,score_pts,shots,shots_on_target,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
FOOTBALL_CFL_2018_10_12_HAM@TOR,2018-10-12,2018,1,CFL,HAM,TOR,,,,,,,,,,,,,,,72.0,3.0,3.0,52.0,156.0,8.0,,,2.0,2.0,44.0,8.0,2.0,2.0,,,,,,
FOOTBALL_CFL_2018_10_20_MTL@TOR,2018-10-20,2018,1,CFL,MTL,TOR,,,,,,,,,,,,,,,67.0,3.0,3.0,61.0,184.0,14.0,,,4.0,4.0,38.0,14.0,2.0,2.0,,,,,,
FOOTBALL_CFL_2018_10_28_TOR@MTL,2018-10-28,2018,1,CFL,TOR,MTL,,,,,,,,,,,,,,,65.0,2.0,2.0,46.0,129.0,3.0,,,1.0,1.0,26.0,3.0,,,,,,,,
FOOTBALL_CFL_2018_11_2_TOR@OTT,2018-11-02,2018,1,CFL,TOR,OTT,,,,,,,,,,,,,,,66.0,2.0,2.0,51.0,125.0,9.0,,,3.0,3.0,45.0,9.0,,,,,,,,
soccer-mlsnp-2026-KXMe8Z2Q64,,2026,1,MLSNP,,,0.0,-0.3979,20.23,6.1212,0.0,-0.2056,0.0,3.0,400.0,0.906,234.0,11.9865,5.1224,0.0,,,,,,,1.0,0.0,,,,,,,0.3979,0.2056,-0.2056,0.6035,0.8548,0.3788
