game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,3.0,12.0,,,28.0,1.0,205.0,124.0,3.0,580.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,11.0,1.0,32.0,25.0,1.0,235.0,205.0,12.0,1116.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,12.0,,,15.0,,81.0,214.0,8.0,1119.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,,,23.0,1.0,180.0,139.0,12.0,770.0
