game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,score_p,score_pts,score_tot
FOOTBALL_CFL_2022_10_15_WPG@BC,2022-10-15,2022,1,CFL,WPG,BC,,,,,,8.0,1.0,1.0,,8.0,8.0,,,,3.0,9.0,21.0,,,,,
FOOTBALL_CFL_2022_10_8_EDM@WPG,2022-10-08,2022,1,CFL,EDM,WPG,1.0,1.0,,,,,,1.0,,,,,,,2.0,18.0,27.0,,,,,
FOOTBALL_CFL_2022_7_15_CGY@WPG,2022-07-15,2022,1,CFL,CGY,WPG,,,,,,,,,,,,6.0,1.0,6.0,,,,,,,,
FOOTBALL_CFL_2022_7_22_WPG@EDM,2022-07-22,2022,1,CFL,WPG,EDM,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,
FOOTBALL_CFL_2022_7_4_WPG@TOR,2022-07-04,2022,1,CFL,WPG,TOR,,,,,,2.0,3.0,4.0,,-5.0,-5.0,,,,3.0,9.0,18.0,,,,,
FOOTBALL_CFL_2022_7_9_WPG@BC,2022-07-09,2022,1,CFL,WPG,BC,,,,,,30.0,3.0,3.0,,-1.0,32.0,,,,3.0,22.0,27.0,,,,,
FOOTBALL_CFL_2022_8_11_MTL@WPG,2022-08-11,2022,1,CFL,MTL,WPG,,,,,,,,,,,,2.0,1.0,2.0,,,,,,,,
FOOTBALL_CFL_2022_8_25_CGY@WPG,2022-08-25,2022,1,CFL,CGY,WPG,2.0,2.0,,,,,5.0,6.0,1.0,27.0,95.0,,,,2.0,12.0,12.0,,,1.0,6.0,1.0
FOOTBALL_CFL_2022_9_10_SSK@WPG,2022-09-10,2022,1,CFL,SSK,WPG,,,,,,6.0,1.0,1.0,,1.0,6.0,,,,2.0,9.0,14.0,,,,,
FOOTBALL_CFL_2022_9_17_WPG@HAM,2022-09-17,2022,1,CFL,WPG,HAM,,,,,,6.0,2.0,3.0,,6.0,11.0,,,,2.0,15.0,19.0,,,,,
FOOTBALL_CFL_2022_9_30_SSK@WPG,2022-09-30,2022,1,CFL,SSK,WPG,,,,,,,,,,,,,,,2.0,7.0,9.0,,,,,
FOOTBALL_CFL_2022_9_4_WPG@SSK,2022-09-04,2022,1,CFL,WPG,SSK,,,,,,17.0,1.0,4.0,,11.0,17.0,,,,1.0,15.0,15.0,,,,,
9889296,2023-07-01,2023,4,CFL,WPG,MTL,,,0.0,10.0,2.0,,,,,,,,,,,,,0.0,49.0,,,
9889299,2023-07-07,2023,5,CFL,CGY,WPG,,,1.0,73.0,2.0,,,,,,,,,,,,,0.0,7.0,,,
9889304,2023-07-15,2023,6,CFL,WPG,OTT,,,0.0,20.0,1.0,,,,,,,,,,,,,0.0,4.0,,,
9889306,2023-07-20,2023,7,CFL,EDM,WPG,,,0.0,12.0,1.0,,,,,,,,,,,,,0.0,9.0,,,
9889314,2023-08-03,2023,9,CFL,BC,WPG,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,11.0,,,
9889318,2023-08-10,2023,10,CFL,WPG,EDM,,,0.0,10.0,1.0,,,,,,,,,,,,,0.0,6.0,,,
9889323,2023-08-18,2023,11,CFL,WPG,CGY,,,0.0,19.0,2.0,,,,,,,,,,,,,,,,,
9889326,2023-08-24,2023,12,CFL,MTL,WPG,,,0.0,8.0,1.0,,,,,,,,,,,,,0.0,17.0,,,
9889331,2023-09-03,2023,13,CFL,WPG,SSK,,,,,,,,,,,,,,,,,,0.0,2.0,,,
9889360,2023-10-21,2023,20,CFL,EDM,WPG,,,1.0,9.0,2.0,,,,,,,,,,,,,0.0,17.0,,,
9889361,2023-10-27,2023,21,CFL,WPG,CGY,,,0.0,21.0,3.0,,,,,,,,,,,,,0.0,24.0,,,
