game_id,date,season,week,league,away,home,1pt_conversion,3pt_pass,conversions,receiving_tds,receiving_yards,receptions,tackles
FOOTBALL_XFL_2023_4_1_DC@ORL,2023-04-01,2023,7,XFL,DC,ORL,,,,1.0,26.0,2.0,
FOOTBALL_XFL_2023_4_8_ARL@ORL,2023-04-08,2023,8,XFL,ARL,ORL,,,,,9.0,1.0,
FOOTBALL_XFL_2023_4_15_ORL@SA,2023-04-15,2023,9,XFL,ORL,SA,,,,1.0,4.0,1.0,1.0
SYNTHETIC_XFL_2023_W9_GUARDIANS,2023-04-15,2023,9,XFL,BRAHMAS,GUARDIANS,0.0,,1.0,,,,
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,,,,1.0,109.0,4.0,
SYNTHETIC_UFL_2024_W5_STALLIONS,2024-04-27,2024,5,UFL,ROUGHNECKS,STALLIONS,,,,0.0,21.0,1.0,
SYNTHETIC_UFL_2024_W6_STALLIONS,2024-05-04,2024,6,UFL,SHOWBOATS,STALLIONS,,,3.0,0.0,33.0,1.0,
SYNTHETIC_UFL_2024_W7_STALLIONS,2024-05-11,2024,7,UFL,STALLIONS,BATTLEHAWKS,,,,0.0,10.0,1.0,
SYNTHETIC_UFL_2024_W8_STALLIONS,2024-05-18,2024,8,UFL,STALLIONS,ROUGHNECKS,1.0,,,0.0,11.0,1.0,
SYNTHETIC_UFL_2024_W9_STALLIONS,2024-05-25,2024,9,UFL,BRAHMAS,STALLIONS,,,,0.0,0.0,0.0,
SYNTHETIC_UFL_2024_W10_STALLIONS,2024-06-01,2024,10,UFL,STALLIONS,PANTHERS,,,,0.0,0.0,0.0,
SYNTHETIC_UFL_2024_W11_STALLIONS,2024-06-08,2024,11,UFL,STALLIONS,PANTHERS,1.0,,,1.0,62.0,2.0,
SYNTHETIC_UFL_2024_W12_STALLIONS,2024-06-16,2024,12,UFL,BRAHMAS,STALLIONS,,,,0.0,14.0,1.0,
SYNTHETIC_UFL_2025_W1_STALLIONS,2025-03-30,2025,1,UFL,DEFENDERS,STALLIONS,,,,0.0,13.0,1.0,
SYNTHETIC_UFL_2025_W2_STALLIONS,2025-04-04,2025,2,UFL,PANTHERS,STALLIONS,,,,0.0,7.0,1.0,
SYNTHETIC_UFL_2025_W3_STALLIONS,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,,,,0.0,44.0,2.0,
SYNTHETIC_UFL_2025_W4_STALLIONS,2025-04-19,2025,4,UFL,ROUGHNECKS,STALLIONS,,,,0.0,23.0,2.0,
SYNTHETIC_UFL_2025_W5_STALLIONS,2025-04-25,2025,5,UFL,STALLIONS,SHOWBOATS,,,,1.0,33.0,1.0,
SYNTHETIC_UFL_2025_W6_STALLIONS,2025-05-04,2025,6,UFL,STALLIONS,BRAHMAS,,,1.0,0.0,8.0,1.0,
SYNTHETIC_UFL_2025_W7_STALLIONS,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,,,,0.0,22.0,1.0,
SYNTHETIC_UFL_2025_W8_STALLIONS,2025-05-17,2025,8,UFL,BATTLEHAWKS,STALLIONS,,,,0.0,11.0,1.0,
SYNTHETIC_UFL_2025_W9_STALLIONS,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,1.0,,,0.0,17.0,1.0,
SYNTHETIC_UFL_2025_W10_STALLIONS,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,,,,0.0,9.0,1.0,
SYNTHETIC_UFL_2026_W1_BIRMINGHAMSTALLIONS,2026-03-27,2026,1,UFL,BIRMINGHAM STALLIONS,LOUISVILLE KINGS,,,,0.0,6.0,1.0,
SYNTHETIC_UFL_2026_W2_BIRMINGHAMSTALLIONS,2026-04-05,2026,2,UFL,BIRMINGHAM STALLIONS,HOUSTON GAMBLERS,,,,0.0,0.0,0.0,
SYNTHETIC_UFL_2026_W3_BIRMINGHAMSTALLIONS,2026-04-12,2026,3,UFL,BIRMINGHAM STALLIONS,ST. LOUIS BATTLEHAWKS,,,,1.0,35.0,1.0,
SYNTHETIC_UFL_2026_W4_BIRMINGHAMSTALLIONS,2026-04-18,2026,4,UFL,ORLANDO STORM,BIRMINGHAM STALLIONS,,,,0.0,4.0,1.0,
SYNTHETIC_UFL_2026_W5_BIRMINGHAMSTALLIONS,2026-04-24,2026,5,UFL,DC DEFENDERS,BIRMINGHAM STALLIONS,,1.0,,1.0,11.0,2.0,
SYNTHETIC_UFL_2026_W6_BIRMINGHAMSTALLIONS,2026-05-03,2026,6,UFL,BIRMINGHAM STALLIONS,ORLANDO STORM,,,,0.0,0.0,0.0,
SYNTHETIC_UFL_2026_W7_BIRMINGHAMSTALLIONS,2026-05-09,2026,7,UFL,DALLAS RENEGADES,BIRMINGHAM STALLIONS,,,,0.0,-1.0,2.0,
